"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746948","1.2.2.6","4750","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Fair or poor perceived health","Percentage of persons","Percent","239","units","0","v1427746949","1.2.3.1","10.5","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Fair or poor perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746950","1.2.3.2","9.5","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Fair or poor perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746951","1.2.3.3","11.6","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Fair or poor perceived health","Number of persons","Number","223","thousands","3","v1427746952","1.2.3.4","1626","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Fair or poor perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746953","1.2.3.5","1466","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Fair or poor perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746954","1.2.3.6","1786","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Excellent or very good perceived health","Percentage of persons","Percent","239","units","0","v1427746955","1.3.1.1","53.9","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Excellent or very good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746956","1.3.1.2","52.2","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Excellent or very good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746957","1.3.1.3","55.6","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Excellent or very good perceived health","Number of persons","Number","223","thousands","3","v1427746958","1.3.1.4","8536","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Excellent or very good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746959","1.3.1.5","8269","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Excellent or very good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746960","1.3.1.6","8803","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Good perceived health","Percentage of persons","Percent","239","units","0","v1427746961","1.3.2.1","33.8","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746962","1.3.2.2","32.2","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746963","1.3.2.3","35.5","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Good perceived health","Number of persons","Number","223","thousands","3","v1427746964","1.3.2.4","5353","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746965","1.3.2.5","5092","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746966","1.3.2.6","5614","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Fair or poor perceived health","Percentage of persons","Percent","239","units","0","v1427746967","1.3.3.1","12.3","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Fair or poor perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746968","1.3.3.2","11.3","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Fair or poor perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746969","1.3.3.3","13.4","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Fair or poor perceived health","Number of persons","Number","223","thousands","3","v1427746970","1.3.3.4","1948","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Fair or poor perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746971","1.3.3.5","1782","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Fair or poor perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746972","1.3.3.6","2114","","","","0"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Excellent or very good perceived health","Percentage of persons","Percent","239","units","0","v1427746973","2.1.1.1","57.3","","","","1"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Excellent or very good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746974","2.1.1.2","54.6","","","","1"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Excellent or very good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746975","2.1.1.3","60.0","","","","1"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Excellent or very good perceived health","Number of persons","Number","223","thousands","3","v1427746976","2.1.1.4","1178","","","","0"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Excellent or very good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746977","2.1.1.5","1122","","","","0"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Excellent or very good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746978","2.1.1.6","1233","","","","0"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Good perceived health","Percentage of persons","Percent","239","units","0","v1427746979","2.1.2.1","29.5","","","","1"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746980","2.1.2.2","27.0","","","","1"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746981","2.1.2.3","32.1","","","","1"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Good perceived health","Number of persons","Number","223","thousands","3","v1427746982","2.1.2.4","607","","","","0"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746983","2.1.2.5","554","","","","0"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746984","2.1.2.6","660","","","","0"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Fair or poor perceived health","Percentage of persons","Percent","239","units","0","v1427746985","2.1.3.1","13.2","","","","1"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Fair or poor perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746986","2.1.3.2","11.5","","","","1"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Fair or poor perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746987","2.1.3.3","15.1","","","","1"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Fair or poor perceived health","Number of persons","Number","223","thousands","3","v1427746988","2.1.3.4","271","","","","0"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Fair or poor perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746989","2.1.3.5","234","","","","0"
"2021-04","Atlantic Region","2016A00011","Total, all persons","Fair or poor perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746990","2.1.3.6","309","","","","0"
"2021-04","Atlantic Region","2016A00011","Men","Excellent or very good perceived health","Percentage of persons","Percent","239","units","0","v1427746991","2.2.1.1","57.6","","","","1"
"2021-04","Atlantic Region","2016A00011","Men","Excellent or very good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746992","2.2.1.2","53.2","","","","1"
"2021-04","Atlantic Region","2016A00011","Men","Excellent or very good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746993","2.2.1.3","61.9","","","","1"
"2021-04","Atlantic Region","2016A00011","Men","Excellent or very good perceived health","Number of persons","Number","223","thousands","3","v1427746994","2.2.1.4","580","","","","0"
"2021-04","Atlantic Region","2016A00011","Men","Excellent or very good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746995","2.2.1.5","536","","","","0"
"2021-04","Atlantic Region","2016A00011","Men","Excellent or very good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746996","2.2.1.6","625","","","","0"
"2021-04","Atlantic Region","2016A00011","Men","Good perceived health","Percentage of persons","Percent","239","units","0","v1427746997","2.2.2.1","28.6","","","","1"
"2021-04","Atlantic Region","2016A00011","Men","Good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746998","2.2.2.2","24.7","","","","1"
"2021-04","Atlantic Region","2016A00011","Men","Good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746999","2.2.2.3","32.8","","","","1"
"2021-04","Atlantic Region","2016A00011","Men","Good perceived health","Number of persons","Number","223","thousands","3","v1427747000","2.2.2.4","288","","","","0"
"2021-04","Atlantic Region","2016A00011","Men","Good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747001","2.2.2.5","247","","","","0"
"2021-04","Atlantic Region","2016A00011","Men","Good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747002","2.2.2.6","329","","","","0"
"2021-04","Atlantic Region","2016A00011","Men","Fair or poor perceived health","Percentage of persons","Percent","239","units","0","v1427747003","2.2.3.1","13.8","","","","1"
"2021-04","Atlantic Region","2016A00011","Men","Fair or poor perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747004","2.2.3.2","11.2","","","","1"
"2021-04","Atlantic Region","2016A00011","Men","Fair or poor perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747005","2.2.3.3","16.8","","","","1"
"2021-04","Atlantic Region","2016A00011","Men","Fair or poor perceived health","Number of persons","Number","223","thousands","3","v1427747006","2.2.3.4","139","","","","0"
"2021-04","Atlantic Region","2016A00011","Men","Fair or poor perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747007","2.2.3.5","111","","","","0"
"2021-04","Atlantic Region","2016A00011","Men","Fair or poor perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747008","2.2.3.6","167","","","","0"
"2021-04","Atlantic Region","2016A00011","Women","Excellent or very good perceived health","Percentage of persons","Percent","239","units","0","v1427747009","2.3.1.1","57.0","","","","1"
"2021-04","Atlantic Region","2016A00011","Women","Excellent or very good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747010","2.3.1.2","53.4","","","","1"
"2021-04","Atlantic Region","2016A00011","Women","Excellent or very good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747011","2.3.1.3","60.5","","","","1"
"2021-04","Atlantic Region","2016A00011","Women","Excellent or very good perceived health","Number of persons","Number","223","thousands","3","v1427747012","2.3.1.4","597","","","","0"
"2021-04","Atlantic Region","2016A00011","Women","Excellent or very good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747013","2.3.1.5","559","","","","0"
"2021-04","Atlantic Region","2016A00011","Women","Excellent or very good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747014","2.3.1.6","635","","","","0"
"2021-04","Atlantic Region","2016A00011","Women","Good perceived health","Percentage of persons","Percent","239","units","0","v1427747015","2.3.2.1","30.4","","","","1"
"2021-04","Atlantic Region","2016A00011","Women","Good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747016","2.3.2.2","27.2","","","","1"
"2021-04","Atlantic Region","2016A00011","Women","Good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747017","2.3.2.3","33.8","","","","1"
"2021-04","Atlantic Region","2016A00011","Women","Good perceived health","Number of persons","Number","223","thousands","3","v1427747018","2.3.2.4","319","","","","0"
"2021-04","Atlantic Region","2016A00011","Women","Good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747019","2.3.2.5","284","","","","0"
"2021-04","Atlantic Region","2016A00011","Women","Good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747020","2.3.2.6","354","","","","0"
"2021-04","Atlantic Region","2016A00011","Women","Fair or poor perceived health","Percentage of persons","Percent","239","units","0","v1427747021","2.3.3.1","12.6","","","","1"
"2021-04","Atlantic Region","2016A00011","Women","Fair or poor perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747022","2.3.3.2","10.4","","","","1"
"2021-04","Atlantic Region","2016A00011","Women","Fair or poor perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747023","2.3.3.3","15.2","","","","1"
"2021-04","Atlantic Region","2016A00011","Women","Fair or poor perceived health","Number of persons","Number","223","thousands","3","v1427747024","2.3.3.4","133","","","","0"
"2021-04","Atlantic Region","2016A00011","Women","Fair or poor perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747025","2.3.3.5","107","","","","0"
"2021-04","Atlantic Region","2016A00011","Women","Fair or poor perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747026","2.3.3.6","158","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Excellent or very good perceived health","Percentage of persons","Percent","239","units","0","v1427747027","3.1.1.1","53.1","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Excellent or very good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747028","3.1.1.2","47.0","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Excellent or very good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747029","3.1.1.3","59.0","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Excellent or very good perceived health","Number of persons","Number","223","thousands","3","v1427747030","3.1.1.4","236","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Excellent or very good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747031","3.1.1.5","209","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Excellent or very good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747032","3.1.1.6","263","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Good perceived health","Percentage of persons","Percent","239","units","0","v1427747033","3.1.2.1","33.0","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747034","3.1.2.2","27.6","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747035","3.1.2.3","38.9","","","","1"
