REF_DATE,GEO,DGUID,Age group,Sex,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806947386,2.1.2.4.4,12.3,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806947386,2.1.2.4.4,14.8,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806947393,2.1.2.5.4,14.3,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806947393,2.1.2.5.4,15.8,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806947393,2.1.2.5.4,15.7,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,Mood disorder,Percent,Percent,239,units,0,v1806947435,2.1.2.11.4,8.7,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,Mood disorder,Percent,Percent,239,units,0,v1806947435,2.1.2.11.4,10.1,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,Mood disorder,Percent,Percent,239,units,0,v1806947435,2.1.2.11.4,12.8,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,Anxiety disorder,Percent,Percent,239,units,0,v1806947442,2.1.2.12.4,9.9,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,Anxiety disorder,Percent,Percent,239,units,0,v1806947442,2.1.2.12.4,13.3,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,Anxiety disorder,Percent,Percent,239,units,0,v1806947442,2.1.2.12.4,,..,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806947463,2.1.2.15.4,27.5,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806947463,2.1.2.15.4,27.3,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806947463,2.1.2.15.4,26.5,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,Heavy drinking,Percent,Percent,239,units,0,v1806947491,2.1.2.19.4,30.3,,,,1
