"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Ability to handle the day-to-day demands in life, good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v114665480","10.5.1.2.5","86.1","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Ability to handle the day-to-day demands in life, good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v114665481","10.5.1.2.6","90.8","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Ability to handle the day-to-day demands in life, good or excellent","Statistically different from the Canada (excluding territories) rate","Percent","239","units","0","v114665482","10.5.1.2.7","0","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, work","Number of persons","Number","223","units","0","v114665483","10.5.1.3.1","238800","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, work","Low 95% confidence interval, number of persons","Number","223","units","0","v114665484","10.5.1.3.2","210200","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, work","High 95% confidence interval, number of persons","Number","223","units","0","v114665485","10.5.1.3.3","265200","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, work","Percent","Percent","239","units","0","v114665486","10.5.1.3.4","30.5","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, work","Low 95% confidence interval, percent","Percent","239","units","0","v114665487","10.5.1.3.5","27.2","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, work","High 95% confidence interval, percent","Percent","239","units","0","v114665488","10.5.1.3.6","34.0","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, work","Statistically different from the Canada (excluding territories) rate","Percent","239","units","0","v114665489","10.5.1.3.7","0","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, financial concerns","Number of persons","Number","223","units","0","v114665490","10.5.1.4.1","145300","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, financial concerns","Low 95% confidence interval, number of persons","Number","223","units","0","v114665491","10.5.1.4.2","123500","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, financial concerns","High 95% confidence interval, number of persons","Number","223","units","0","v114665492","10.5.1.4.3","170500","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, financial concerns","Percent","Percent","239","units","0","v114665493","10.5.1.4.4","18.5","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, financial concerns","Low 95% confidence interval, percent","Percent","239","units","0","v114665494","10.5.1.4.5","15.8","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, financial concerns","High 95% confidence interval, percent","Percent","239","units","0","v114665495","10.5.1.4.6","21.7","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, financial concerns","Statistically different from the Canada (excluding territories) rate","Percent","239","units","0","v114665496","10.5.1.4.7","0","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, family","Number of persons","Number","223","units","0","v114665497","10.5.1.5.1","146800","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, family","Low 95% confidence interval, number of persons","Number","223","units","0","v114665498","10.5.1.5.2","126200","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, family","High 95% confidence interval, number of persons","Number","223","units","0","v114665499","10.5.1.5.3","168500","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, family","Percent","Percent","239","units","0","v114665500","10.5.1.5.4","18.7","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, family","Low 95% confidence interval, percent","Percent","239","units","0","v114665501","10.5.1.5.5","16.2","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, family","High 95% confidence interval, percent","Percent","239","units","0","v114665502","10.5.1.5.6","21.6","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, family","Statistically different from the Canada (excluding territories) rate","Percent","239","units","0","v114665503","10.5.1.5.7","0","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, school work (12 to 34 years old)","Number of persons","Number","223","units","0","v114665504","10.5.1.6.1","","..","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, school work (12 to 34 years old)","Low 95% confidence interval, number of persons","Number","223","units","0","v114665505","10.5.1.6.2","","..","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, school work (12 to 34 years old)","High 95% confidence interval, number of persons","Number","223","units","0","v114665506","10.5.1.6.3","","..","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, school work (12 to 34 years old)","Percent","Percent","239","units","0","v114665507","10.5.1.6.4","","..","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, school work (12 to 34 years old)","Low 95% confidence interval, percent","Percent","239","units","0","v114665508","10.5.1.6.5","","..","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, school work (12 to 34 years old)","High 95% confidence interval, percent","Percent","239","units","0","v114665509","10.5.1.6.6","","..","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, school work (12 to 34 years old)","Statistically different from the Canada (excluding territories) rate","Percent","239","units","0","v114665510","10.5.1.6.7","","..","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, time pressures/ not enough time","Number of persons","Number","223","units","0","v114665511","10.5.1.7.1","82900","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, time pressures/ not enough time","Low 95% confidence interval, number of persons","Number","223","units","0","v114665512","10.5.1.7.2","62600","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, time pressures/ not enough time","High 95% confidence interval, number of persons","Number","223","units","0","v114665513","10.5.1.7.3","101200","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, time pressures/ not enough time","Percent","Percent","239","units","0","v114665514","10.5.1.7.4","10.6","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, time pressures/ not enough time","Low 95% confidence interval, percent","Percent","239","units","0","v114665515","10.5.1.7.5","8.3","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, time pressures/ not enough time","High 95% confidence interval, percent","Percent","239","units","0","v114665516","10.5.1.7.6","13.4","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, time pressures/ not enough time","Statistically different from the Canada (excluding territories) rate","Percent","239","units","0","v114665517","10.5.1.7.7","0","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, health","Number of persons","Number","223","units","0","v114665518","10.5.1.8.1","74100","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, health","Low 95% confidence interval, number of persons","Number","223","units","0","v114665519","10.5.1.8.2","59100","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, health","High 95% confidence interval, number of persons","Number","223","units","0","v114665520","10.5.1.8.3","90500","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, health","Percent","Percent","239","units","0","v114665521","10.5.1.8.4","9.5","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, health","Low 95% confidence interval, percent","Percent","239","units","0","v114665522","10.5.1.8.5","7.6","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, health","High 95% confidence interval, percent","Percent","239","units","0","v114665523","10.5.1.8.6","11.7","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, health","Statistically different from the Canada (excluding territories) rate","Percent","239","units","0","v114665524","10.5.1.8.7","0","","","","0"
