Fiscal year,Diagnosis category,Sex,fiscal_year,value,ci_low,ci_high,sheet_type
2022–2023,   Tic disorders,Male,Agegroup:10–14years–95%CI,7.0,7,13,ED
2022–2023,   Tic disorders,Total,Agegroup:10–14years–95%CI,9.0,9,13,ED
2022–2023,   ADHD,Female,Agegroup:10–14years–95%CI,18.0,18,26,ED
2022–2023,   ADHD,Male,Agegroup:10–14years–95%CI,27.0,27,36,ED
2022–2023,   ADHD,Total,Agegroup:10–14years–95%CI,24.0,24,30,ED
2023–2024,Neurocognitive disorders,Female,Agegroup:10–14years–95%CI,7.0,7,12,ED
2023–2024,Neurocognitive disorders,Male,Agegroup:10–14years–95%CI,6.0,6,10,ED
2023–2024,Neurocognitive disorders,Total,Agegroup:10–14years–95%CI,7.0,7,10,ED
2023–2024,Substance-related disorders,Female,Agegroup:10–14years–95%CI,85.0,85,102,ED
2023–2024,Substance-related disorders,Male,Agegroup:10–14years–95%CI,46.0,46,58,ED
2023–2024,Substance-related disorders,Total,Agegroup:10–14years–95%CI,67.0,67,77,ED
2023–2024,Schizophrenic and psychotic disorders,Female,Agegroup:10–14years–95%CI,10.0,10,16,ED
2023–2024,Schizophrenic and psychotic disorders,Male,Agegroup:10–14years–95%CI,7.0,7,11,ED
2023–2024,Schizophrenic and psychotic disorders,Total,Agegroup:10–14years–95%CI,9.0,9,13,ED
2023–2024,Mood disorders,Female,Agegroup:10–14years–95%CI,264.0,264,292,ED
2023–2024,Mood disorders,Male,Agegroup:10–14years–95%CI,79.0,79,94,ED
2023–2024,Mood disorders,Total,Agegroup:10–14years–95%CI,172.0,172,187,ED
2023–2024,Anxiety disorders,Female,Agegroup:10–14years–95%CI,248.0,248,275,ED
2023–2024,Anxiety disorders,Male,Agegroup:10–14years–95%CI,99.0,99,115,ED
2023–2024,Anxiety disorders,Total,Agegroup:10–14years–95%CI,174.0,174,190,ED
2023–2024,Personality disorders,Female,Agegroup:10–14years–95%CI,17.0,17,25,ED
2023–2024,Personality disorders,Male,Agegroup:10–14years–95%CI,4.0,4,7,ED
2023–2024,Personality disorders,Total,Agegroup:10–14years–95%CI,11.0,11,15,ED
2023–2024,Other disorders,Female,Agegroup:10–14years–95%CI,422.0,422,458,ED
2023–2024,Other disorders,Male,Agegroup:10–14years–95%CI,261.0,261,288,ED
2023–2024,Other disorders,Total,Agegroup:10–14years–95%CI,344.0,344,366,ED
2023–2024,   Trauma- and stressor-related disorders,Female,Agegroup:10–14years–95%CI,296.0,296,326,ED
2023–2024,   Trauma- and stressor-related disorders,Male,Agegroup:10–14years–95%CI,142.0,142,162,ED
2023–2024,   Trauma- and stressor-related disorders,Total,Agegroup:10–14years–95%CI,220.0,220,238,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:10–14years–95%CI,36.0,36,47,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:10–14years–95%CI,43.0,43,54,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:10–14years–95%CI,41.0,41,49,ED
2023–2024,   Eating and feeding disorders,Female,Agegroup:10–14years–95%CI,35.0,35,46,ED
2023–2024,   Eating and feeding disorders,Male,Agegroup:10–14years–95%CI,3.0,3,6,ED
2023–2024,   Eating and feeding disorders,Total,Agegroup:10–14years–95%CI,19.0,19,25,ED
2023–2024,   Tic disorders,Female,Agegroup:10–14years–95%CI,6.0,6,10,ED
2023–2024,   Tic disorders,Male,Agegroup:10–14years–95%CI,4.0,4,9,ED
2023–2024,   Tic disorders,Total,Agegroup:10–14years–95%CI,6.0,6,9,ED
2023–2024,   ADHD,Female,Agegroup:10–14years–95%CI,14.0,14,21,ED
2023–2024,   ADHD,Male,Agegroup:10–14years–95%CI,26.0,26,36,ED
2023–2024,   ADHD,Total,Agegroup:10–14years–95%CI,21.0,21,27,ED
2018–2019,Neurocognitive disorders,Female,Agegroup:15–17years–Rate,52.0,,,ED
2018–2019,Neurocognitive disorders,Male,Agegroup:15–17years–Rate,31.0,,,ED
2018–2019,Neurocognitive disorders,Total,Agegroup:15–17years–Rate,41.0,,,ED
2018–2019,Substance-related disorders,Female,Agegroup:15–17years–Rate,513.0,,,ED
2018–2019,Substance-related disorders,Male,Agegroup:15–17years–Rate,539.0,,,ED
2018–2019,Substance-related disorders,Total,Agegroup:15–17years–Rate,526.0,,,ED
2018–2019,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–Rate,67.0,,,ED
2018–2019,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–Rate,93.0,,,ED
2018–2019,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–Rate,81.0,,,ED
2018–2019,Mood disorders,Female,Agegroup:15–17years–Rate,1149.0,,,ED
2018–2019,Mood disorders,Male,Agegroup:15–17years–Rate,514.0,,,ED
2018–2019,Mood disorders,Total,Agegroup:15–17years–Rate,824.0,,,ED
2018–2019,Anxiety disorders,Female,Agegroup:15–17years–Rate,784.0,,,ED
2018–2019,Anxiety disorders,Male,Agegroup:15–17years–Rate,390.0,,,ED
2018–2019,Anxiety disorders,Total,Agegroup:15–17years–Rate,583.0,,,ED
2018–2019,Personality disorders,Female,Agegroup:15–17years–Rate,98.0,,,ED
2018–2019,Personality disorders,Male,Agegroup:15–17years–Rate,18.0,,,ED
2018–2019,Personality disorders,Total,Agegroup:15–17years–Rate,57.0,,,ED
2018–2019,Other disorders,Female,Agegroup:15–17years–Rate,1102.0,,,ED
2018–2019,Other disorders,Male,Agegroup:15–17years–Rate,636.0,,,ED
2018–2019,Other disorders,Total,Agegroup:15–17years–Rate,864.0,,,ED
2018–2019,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–Rate,926.0,,,ED
2018–2019,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–Rate,475.0,,,ED
2018–2019,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–Rate,695.0,,,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–Rate,49.0,,,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–Rate,73.0,,,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–Rate,62.0,,,ED
2018–2019,   Eating and feeding disorders,Female,Agegroup:15–17years–Rate,54.0,,,ED
2018–2019,   Eating and feeding disorders,Male,Agegroup:15–17years–Rate,4.0,,,ED
2018–2019,   Eating and feeding disorders,Total,Agegroup:15–17years–Rate,29.0,,,ED
2018–2019,   Tic disorders,Female,Agegroup:15–17years–Rate,4.0,,,ED
2018–2019,   Tic disorders,Male,Agegroup:15–17years–Rate,2.0,,,ED
2018–2019,   Tic disorders,Total,Agegroup:15–17years–Rate,3.0,,,ED
2018–2019,   ADHD,Female,Agegroup:15–17years–Rate,18.0,,,ED
2018–2019,   ADHD,Male,Agegroup:15–17years–Rate,32.0,,,ED
2018–2019,   ADHD,Total,Agegroup:15–17years–Rate,25.0,,,ED
2019–2020,Neurocognitive disorders,Female,Agegroup:15–17years–Rate,42.0,,,ED
2019–2020,Neurocognitive disorders,Male,Agegroup:15–17years–Rate,27.0,,,ED
2019–2020,Neurocognitive disorders,Total,Agegroup:15–17years–Rate,34.0,,,ED
2019–2020,Substance-related disorders,Female,Agegroup:15–17years–Rate,472.0,,,ED
2019–2020,Substance-related disorders,Male,Agegroup:15–17years–Rate,527.0,,,ED
2019–2020,Substance-related disorders,Total,Agegroup:15–17years–Rate,500.0,,,ED
2019–2020,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–Rate,56.0,,,ED
2019–2020,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–Rate,77.0,,,ED
2019–2020,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–Rate,67.0,,,ED
2019–2020,Mood disorders,Female,Agegroup:15–17years–Rate,1023.0,,,ED
2019–2020,Mood disorders,Male,Agegroup:15–17years–Rate,492.0,,,ED
2019–2020,Mood disorders,Total,Agegroup:15–17years–Rate,751.0,,,ED
2019–2020,Anxiety disorders,Female,Agegroup:15–17years–Rate,798.0,,,ED
2019–2020,Anxiety disorders,Male,Agegroup:15–17years–Rate,378.0,,,ED
2019–2020,Anxiety disorders,Total,Agegroup:15–17years–Rate,583.0,,,ED
2019–2020,Personality disorders,Female,Agegroup:15–17years–Rate,78.0,,,ED
2019–2020,Personality disorders,Male,Agegroup:15–17years–Rate,16.0,,,ED
2019–2020,Personality disorders,Total,Agegroup:15–17years–Rate,46.0,,,ED
2019–2020,Other disorders,Female,Agegroup:15–17years–Rate,1027.0,,,ED
2019–2020,Other disorders,Male,Agegroup:15–17years–Rate,611.0,,,ED
2019–2020,Other disorders,Total,Agegroup:15–17years–Rate,814.0,,,ED
2019–2020,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–Rate,843.0,,,ED
2019–2020,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–Rate,463.0,,,ED
2019–2020,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–Rate,648.0,,,ED
2019–2020,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–Rate,42.0,,,ED
2019–2020,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–Rate,64.0,,,ED
2019–2020,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–Rate,53.0,,,ED
2019–2020,   Eating and feeding disorders,Female,Agegroup:15–17years–Rate,53.0,,,ED
2019–2020,   Eating and feeding disorders,Male,Agegroup:15–17years–Rate,6.0,,,ED
2019–2020,   Eating and feeding disorders,Total,Agegroup:15–17years–Rate,29.0,,,ED
2019–2020,   Tic disorders,Female,Agegroup:15–17years–Rate,9.0,,,ED
2019–2020,   Tic disorders,Male,Agegroup:15–17years–Rate,4.0,,,ED
2019–2020,   Tic disorders,Total,Agegroup:15–17years–Rate,6.0,,,ED
2019–2020,   ADHD,Female,Agegroup:15–17years–Rate,20.0,,,ED
2019–2020,   ADHD,Male,Agegroup:15–17years–Rate,36.0,,,ED
2019–2020,   ADHD,Total,Agegroup:15–17years–Rate,28.0,,,ED
2020–2021,Neurocognitive disorders,Female,Agegroup:15–17years–Rate,18.0,,,ED
2020–2021,Neurocognitive disorders,Male,Agegroup:15–17years–Rate,11.0,,,ED
2020–2021,Neurocognitive disorders,Total,Agegroup:15–17years–Rate,14.0,,,ED
2020–2021,Substance-related disorders,Female,Agegroup:15–17years–Rate,326.0,,,ED
2020–2021,Substance-related disorders,Male,Agegroup:15–17years–Rate,331.0,,,ED
2020–2021,Substance-related disorders,Total,Agegroup:15–17years–Rate,329.0,,,ED
2020–2021,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–Rate,61.0,,,ED
2020–2021,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–Rate,84.0,,,ED
2020–2021,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–Rate,73.0,,,ED
2020–2021,Mood disorders,Female,Agegroup:15–17years–Rate,797.0,,,ED
2020–2021,Mood disorders,Male,Agegroup:15–17years–Rate,326.0,,,ED
2020–2021,Mood disorders,Total,Agegroup:15–17years–Rate,555.0,,,ED
2020–2021,Anxiety disorders,Female,Agegroup:15–17years–Rate,679.0,,,ED
2020–2021,Anxiety disorders,Male,Agegroup:15–17years–Rate,315.0,,,ED
2020–2021,Anxiety disorders,Total,Agegroup:15–17years–Rate,492.0,,,ED
2020–2021,Personality disorders,Female,Agegroup:15–17years–Rate,66.0,,,ED
2020–2021,Personality disorders,Male,Agegroup:15–17years–Rate,14.0,,,ED
2020–2021,Personality disorders,Total,Agegroup:15–17years–Rate,39.0,,,ED
2020–2021,Other disorders,Female,Agegroup:15–17years–Rate,849.0,,,ED
2020–2021,Other disorders,Male,Agegroup:15–17years–Rate,432.0,,,ED
2020–2021,Other disorders,Total,Agegroup:15–17years–Rate,635.0,,,ED
2020–2021,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–Rate,616.0,,,ED
2020–2021,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–Rate,306.0,,,ED
2020–2021,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–Rate,457.0,,,ED
2020–2021,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–Rate,32.0,,,ED
2020–2021,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–Rate,43.0,,,ED
2020–2021,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–Rate,38.0,,,ED
2020–2021,   Eating and feeding disorders,Female,Agegroup:15–17years–Rate,107.0,,,ED
2020–2021,   Eating and feeding disorders,Male,Agegroup:15–17years–Rate,8.0,,,ED
2020–2021,   Eating and feeding disorders,Total,Agegroup:15–17years–Rate,56.0,,,ED
2020–2021,   Tic disorders,Female,Agegroup:15–17years–Rate,25.0,,,ED
2020–2021,   Tic disorders,Male,Agegroup:15–17years–Rate,4.0,,,ED
2020–2021,   Tic disorders,Total,Agegroup:15–17years–Rate,14.0,,,ED
2020–2021,   ADHD,Female,Agegroup:15–17years–Rate,21.0,,,ED
2020–2021,   ADHD,Male,Agegroup:15–17years–Rate,30.0,,,ED
2020–2021,   ADHD,Total,Agegroup:15–17years–Rate,25.0,,,ED
2021–2022,Neurocognitive disorders,Female,Agegroup:15–17years–Rate,19.0,,,ED
2021–2022,Neurocognitive disorders,Male,Agegroup:15–17years–Rate,11.0,,,ED
2021–2022,Neurocognitive disorders,Total,Agegroup:15–17years–Rate,15.0,,,ED
2021–2022,Substance-related disorders,Female,Agegroup:15–17years–Rate,363.0,,,ED
2021–2022,Substance-related disorders,Male,Agegroup:15–17years–Rate,316.0,,,ED
2021–2022,Substance-related disorders,Total,Agegroup:15–17years–Rate,338.0,,,ED
2021–2022,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–Rate,65.0,,,ED
2021–2022,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–Rate,87.0,,,ED
2021–2022,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–Rate,77.0,,,ED
2021–2022,Mood disorders,Female,Agegroup:15–17years–Rate,1035.0,,,ED
2021–2022,Mood disorders,Male,Agegroup:15–17years–Rate,398.0,,,ED
2021–2022,Mood disorders,Total,Agegroup:15–17years–Rate,706.0,,,ED
2021–2022,Anxiety disorders,Female,Agegroup:15–17years–Rate,807.0,,,ED
2021–2022,Anxiety disorders,Male,Agegroup:15–17years–Rate,337.0,,,ED
2021–2022,Anxiety disorders,Total,Agegroup:15–17years–Rate,564.0,,,ED
2021–2022,Personality disorders,Female,Agegroup:15–17years–Rate,107.0,,,ED
2021–2022,Personality disorders,Male,Agegroup:15–17years–Rate,15.0,,,ED
2021–2022,Personality disorders,Total,Agegroup:15–17years–Rate,59.0,,,ED
2021–2022,Other disorders,Female,Agegroup:15–17years–Rate,1080.0,,,ED
2021–2022,Other disorders,Male,Agegroup:15–17years–Rate,505.0,,,ED
2021–2022,Other disorders,Total,Agegroup:15–17years–Rate,783.0,,,ED
2021–2022,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–Rate,788.0,,,ED
2021–2022,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–Rate,374.0,,,ED
2021–2022,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–Rate,574.0,,,ED
2021–2022,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–Rate,41.0,,,ED
2021–2022,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–Rate,40.0,,,ED
2021–2022,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–Rate,40.0,,,ED
2021–2022,   Eating and feeding disorders,Female,Agegroup:15–17years–Rate,139.0,,,ED
2021–2022,   Eating and feeding disorders,Male,Agegroup:15–17years–Rate,11.0,,,ED
2021–2022,   Eating and feeding disorders,Total,Agegroup:15–17years–Rate,73.0,,,ED
2021–2022,   Tic disorders,Female,Agegroup:15–17years–Rate,26.0,,,ED
2021–2022,   Tic disorders,Male,Agegroup:15–17years–Rate,5.0,,,ED
2021–2022,   Tic disorders,Total,Agegroup:15–17years–Rate,15.0,,,ED
2021–2022,   ADHD,Female,Agegroup:15–17years–Rate,22.0,,,ED
2021–2022,   ADHD,Male,Agegroup:15–17years–Rate,28.0,,,ED
2021–2022,   ADHD,Total,Agegroup:15–17years–Rate,25.0,,,ED
2022–2023,Neurocognitive disorders,Female,Agegroup:15–17years–Rate,19.0,,,ED
2022–2023,Neurocognitive disorders,Male,Agegroup:15–17years–Rate,9.0,,,ED
2022–2023,Neurocognitive disorders,Total,Agegroup:15–17years–Rate,14.0,,,ED
2022–2023,Substance-related disorders,Female,Agegroup:15–17years–Rate,378.0,,,ED
2022–2023,Substance-related disorders,Male,Agegroup:15–17years–Rate,318.0,,,ED
2022–2023,Substance-related disorders,Total,Agegroup:15–17years–Rate,347.0,,,ED
2022–2023,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–Rate,60.0,,,ED
2022–2023,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–Rate,75.0,,,ED
2022–2023,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–Rate,68.0,,,ED
2022–2023,Mood disorders,Female,Agegroup:15–17years–Rate,832.0,,,ED
2022–2023,Mood disorders,Male,Agegroup:15–17years–Rate,352.0,,,ED
2022–2023,Mood disorders,Total,Agegroup:15–17years–Rate,584.0,,,ED
2022–2023,Anxiety disorders,Female,Agegroup:15–17years–Rate,698.0,,,ED
2022–2023,Anxiety disorders,Male,Agegroup:15–17years–Rate,289.0,,,ED
2022–2023,Anxiety disorders,Total,Agegroup:15–17years–Rate,487.0,,,ED
2022–2023,Personality disorders,Female,Agegroup:15–17years–Rate,86.0,,,ED
2022–2023,Personality disorders,Male,Agegroup:15–17years–Rate,16.0,,,ED
2022–2023,Personality disorders,Total,Agegroup:15–17years–Rate,50.0,,,ED
2022–2023,Other disorders,Female,Agegroup:15–17years–Rate,902.0,,,ED
2022–2023,Other disorders,Male,Agegroup:15–17years–Rate,454.0,,,ED
2022–2023,Other disorders,Total,Agegroup:15–17years–Rate,671.0,,,ED
2022–2023,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–Rate,688.0,,,ED
2022–2023,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–Rate,332.0,,,ED
2022–2023,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–Rate,504.0,,,ED
2022–2023,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–Rate,31.0,,,ED
2022–2023,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–Rate,39.0,,,ED
2022–2023,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–Rate,35.0,,,ED
2022–2023,   Eating and feeding disorders,Female,Agegroup:15–17years–Rate,78.0,,,ED
2022–2023,   Eating and feeding disorders,Male,Agegroup:15–17years–Rate,9.0,,,ED
2022–2023,   Eating and feeding disorders,Total,Agegroup:15–17years–Rate,42.0,,,ED
2022–2023,   Tic disorders,Female,Agegroup:15–17years–Rate,10.0,,,ED
2022–2023,   Tic disorders,Male,Agegroup:15–17years–Rate,2.0,,,ED
2022–2023,   Tic disorders,Total,Agegroup:15–17years–Rate,6.0,,,ED
2022–2023,   ADHD,Female,Agegroup:15–17years–Rate,20.0,,,ED
2022–2023,   ADHD,Male,Agegroup:15–17years–Rate,25.0,,,ED
2022–2023,   ADHD,Total,Agegroup:15–17years–Rate,23.0,,,ED
2023–2024,Neurocognitive disorders,Female,Agegroup:15–17years–Rate,20.0,,,ED
2023–2024,Neurocognitive disorders,Male,Agegroup:15–17years–Rate,18.0,,,ED
2023–2024,Neurocognitive disorders,Total,Agegroup:15–17years–Rate,19.0,,,ED
2023–2024,Substance-related disorders,Female,Agegroup:15–17years–Rate,392.0,,,ED
2023–2024,Substance-related disorders,Male,Agegroup:15–17years–Rate,339.0,,,ED
2023–2024,Substance-related disorders,Total,Agegroup:15–17years–Rate,365.0,,,ED
2023–2024,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–Rate,56.0,,,ED
2023–2024,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–Rate,84.0,,,ED
2023–2024,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–Rate,70.0,,,ED
2023–2024,Mood disorders,Female,Agegroup:15–17years–Rate,663.0,,,ED
2023–2024,Mood disorders,Male,Agegroup:15–17years–Rate,306.0,,,ED
2023–2024,Mood disorders,Total,Agegroup:15–17years–Rate,479.0,,,ED
2023–2024,Anxiety disorders,Female,Agegroup:15–17years–Rate,582.0,,,ED
2023–2024,Anxiety disorders,Male,Agegroup:15–17years–Rate,255.0,,,ED
2023–2024,Anxiety disorders,Total,Agegroup:15–17years–Rate,413.0,,,ED
2023–2024,Personality disorders,Female,Agegroup:15–17years–Rate,84.0,,,ED
2023–2024,Personality disorders,Male,Agegroup:15–17years–Rate,16.0,,,ED
2023–2024,Personality disorders,Total,Agegroup:15–17years–Rate,48.0,,,ED
2023–2024,Other disorders,Female,Agegroup:15–17years–Rate,824.0,,,ED
2023–2024,Other disorders,Male,Agegroup:15–17years–Rate,428.0,,,ED
2023–2024,Other disorders,Total,Agegroup:15–17years–Rate,619.0,,,ED
2023–2024,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–Rate,628.0,,,ED
2023–2024,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–Rate,298.0,,,ED
2023–2024,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–Rate,458.0,,,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–Rate,33.0,,,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–Rate,39.0,,,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–Rate,36.0,,,ED
2023–2024,   Eating and feeding disorders,Female,Agegroup:15–17years–Rate,80.0,,,ED
2023–2024,   Eating and feeding disorders,Male,Agegroup:15–17years–Rate,8.0,,,ED
2023–2024,   Eating and feeding disorders,Total,Agegroup:15–17years–Rate,43.0,,,ED
2023–2024,   Tic disorders,Female,Agegroup:15–17years–Rate,8.0,,,ED
2023–2024,   Tic disorders,Male,Agegroup:15–17years–Rate,3.0,,,ED
2023–2024,   Tic disorders,Total,Agegroup:15–17years–Rate,6.0,,,ED
2023–2024,   ADHD,Female,Agegroup:15–17years–Rate,22.0,,,ED
2023–2024,   ADHD,Male,Agegroup:15–17years–Rate,31.0,,,ED
2023–2024,   ADHD,Total,Agegroup:15–17years–Rate,27.0,,,ED
2018–2019,Neurocognitive disorders,Female,Agegroup:15–17years–95%CI,44.0,44,60,ED
2018–2019,Neurocognitive disorders,Male,Agegroup:15–17years–95%CI,25.0,25,37,ED
2018–2019,Neurocognitive disorders,Total,Agegroup:15–17years–95%CI,36.0,36,46,ED
2018–2019,Substance-related disorders,Female,Agegroup:15–17years–95%CI,488.0,488,538,ED
2018–2019,Substance-related disorders,Male,Agegroup:15–17years–95%CI,513.0,513,564,ED
2018–2019,Substance-related disorders,Total,Agegroup:15–17years–95%CI,508.0,508,544,ED
2018–2019,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–95%CI,58.0,58,76,ED
2018–2019,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–95%CI,83.0,83,104,ED
2018–2019,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–95%CI,74.0,74,88,ED
2018–2019,Mood disorders,Female,Agegroup:15–17years–95%CI,111.0,111,1,ED
2018–2019,Mood disorders,Male,Agegroup:15–17years–95%CI,489.0,489,539,ED
2018–2019,Mood disorders,Total,Agegroup:15–17years–95%CI,802.0,802,847,ED
2018–2019,Anxiety disorders,Female,Agegroup:15–17years–95%CI,753.0,753,816,ED
2018–2019,Anxiety disorders,Male,Agegroup:15–17years–95%CI,369.0,369,412,ED
2018–2019,Anxiety disorders,Total,Agegroup:15–17years–95%CI,564.0,564,602,ED
2018–2019,Personality disorders,Female,Agegroup:15–17years–95%CI,87.0,87,109,ED
2018–2019,Personality disorders,Male,Agegroup:15–17years–95%CI,13.0,13,22,ED
2018–2019,Personality disorders,Total,Agegroup:15–17years–95%CI,51.0,51,63,ED
2018–2019,Other disorders,Female,Agegroup:15–17years–95%CI,65.0,65,1,ED
2018–2019,Other disorders,Male,Agegroup:15–17years–95%CI,608.0,608,663,ED
2018–2019,Other disorders,Total,Agegroup:15–17years–95%CI,841.0,841,887,ED
2018–2019,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–95%CI,892.0,892,960,ED
2018–2019,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–95%CI,451.0,451,499,ED
2018–2019,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–95%CI,675.0,675,716,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–95%CI,41.0,41,57,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–95%CI,64.0,64,83,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–95%CI,55.0,55,68,ED
2018–2019,   Eating and feeding disorders,Female,Agegroup:15–17years–95%CI,46.0,46,62,ED
2018–2019,   Eating and feeding disorders,Male,Agegroup:15–17years–95%CI,2.0,2,7,ED
2018–2019,   Eating and feeding disorders,Total,Agegroup:15–17years–95%CI,24.0,24,33,ED
2018–2019,   Tic disorders,Female,Agegroup:15–17years–95%CI,2.0,2,7,ED
2018–2019,   Tic disorders,Male,Agegroup:15–17years–95%CI,1.0,1,4,ED
2018–2019,   Tic disorders,Total,Agegroup:15–17years–95%CI,2.0,2,5,ED
2018–2019,   ADHD,Female,Agegroup:15–17years–95%CI,14.0,14,23,ED
2018–2019,   ADHD,Male,Agegroup:15–17years–95%CI,26.0,26,38,ED
2018–2019,   ADHD,Total,Agegroup:15–17years–95%CI,22.0,22,29,ED
2019–2020,Neurocognitive disorders,Female,Agegroup:15–17years–95%CI,35.0,35,50,ED
2019–2020,Neurocognitive disorders,Male,Agegroup:15–17years–95%CI,21.0,21,32,ED
2019–2020,Neurocognitive disorders,Total,Agegroup:15–17years–95%CI,30.0,30,39,ED
2019–2020,Substance-related disorders,Female,Agegroup:15–17years–95%CI,448.0,448,496,ED
2019–2020,Substance-related disorders,Male,Agegroup:15–17years–95%CI,502.0,502,552,ED
2019–2020,Substance-related disorders,Total,Agegroup:15–17years–95%CI,483.0,483,517,ED
2019–2020,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–95%CI,48.0,48,65,ED
2019–2020,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–95%CI,68.0,68,87,ED
2019–2020,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–95%CI,61.0,61,74,ED
2019–2020,Mood disorders,Female,Agegroup:15–17years–95%CI,988.0,988,1,ED
2019–2020,Mood disorders,Male,Agegroup:15–17years–95%CI,468.0,468,516,ED
2019–2020,Mood disorders,Total,Agegroup:15–17years–95%CI,730.0,730,772,ED
2019–2020,Anxiety disorders,Female,Agegroup:15–17years–95%CI,767.0,767,830,ED
2019–2020,Anxiety disorders,Male,Agegroup:15–17years–95%CI,357.0,357,399,ED
2019–2020,Anxiety disorders,Total,Agegroup:15–17years–95%CI,564.0,564,601,ED
2019–2020,Personality disorders,Female,Agegroup:15–17years–95%CI,69.0,69,88,ED
2019–2020,Personality disorders,Male,Agegroup:15–17years–95%CI,12.0,12,20,ED
2019–2020,Personality disorders,Total,Agegroup:15–17years–95%CI,41.0,41,52,ED
2019–2020,Other disorders,Female,Agegroup:15–17years–95%CI,991.0,991,1,ED
2019–2020,Other disorders,Male,Agegroup:15–17years–95%CI,584.0,584,638,ED
2019–2020,Other disorders,Total,Agegroup:15–17years–95%CI,791.0,791,836,ED
