ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2015,2015,Alberta,Males,50 to 64 years,Suicidal thoughts (15 years and over),53500.0,37400.0,69600.0,number,number,E
2015,2015,Alberta,Males,65 years and over,Consultation with a health professional about emotional or mental health,6700.0,2800.0,10600.0,number,number,E
2015,2015,Alberta,Males,65 years and over,"Positive mental health, flourishing",163600.0,152700.0,174500.0,number,number,
2015,2015,Alberta,Males,65 years and over,Suicidal thoughts (15 years and over),14800.0,8500.0,21100.0,number,number,E
2015,2015,Alberta,Males,"Total, 12 years and over",Consultation with a health professional about emotional or mental health,176500.0,146800.0,206300.0,number,number,
2015,2015,Alberta,Males,"Total, 12 years and over","Positive mental health, flourishing",1458200.0,1423400.0,1493000.0,number,number,
2015,2015,Alberta,Males,"Total, 12 years and over",Suicidal thoughts (15 years and over),206700.0,173900.0,239500.0,number,number,
2015,2015,British Columbia,Both sexes,12 to 17 years,Consultation with a health professional about emotional or mental health,27600.0,18500.0,36600.0,number,number,E
2015,2015,British Columbia,Both sexes,12 to 17 years,"Positive mental health, flourishing",231000.0,219300.0,242700.0,number,number,
2015,2015,British Columbia,Both sexes,12 to 17 years,Suicidal thoughts (15 years and over),14000.0,7800.0,20100.0,number,number,E
2015,2015,British Columbia,Both sexes,18 to 34 years,Consultation with a health professional about emotional or mental health,171100.0,141600.0,200700.0,number,number,
2015,2015,British Columbia,Both sexes,18 to 34 years,"Positive mental health, flourishing",820300.0,786500.0,854100.0,number,number,
2015,2015,British Columbia,Both sexes,18 to 34 years,Suicidal thoughts (15 years and over),142800.0,116700.0,168900.0,number,number,
2015,2015,British Columbia,Both sexes,35 to 49 years,Consultation with a health professional about emotional or mental health,150200.0,126900.0,173600.0,number,number,
2015,2015,British Columbia,Both sexes,35 to 49 years,"Positive mental health, flourishing",684400.0,653700.0,715100.0,number,number,
2015,2015,British Columbia,Both sexes,35 to 49 years,Suicidal thoughts (15 years and over),123300.0,101800.0,144900.0,number,number,
2015,2015,British Columbia,Both sexes,50 to 64 years,Consultation with a health professional about emotional or mental health,125100.0,104200.0,146000.0,number,number,
2015,2015,British Columbia,Both sexes,50 to 64 years,"Positive mental health, flourishing",762700.0,731900.0,793600.0,number,number,
2015,2015,British Columbia,Both sexes,50 to 64 years,Suicidal thoughts (15 years and over),125400.0,99700.0,151000.0,number,number,
2015,2015,British Columbia,Both sexes,65 years and over,Consultation with a health professional about emotional or mental health,67100.0,54000.0,80300.0,number,number,
2015,2015,British Columbia,Both sexes,65 years and over,"Positive mental health, flourishing",558200.0,535100.0,581300.0,number,number,
2015,2015,British Columbia,Both sexes,65 years and over,Suicidal thoughts (15 years and over),63000.0,49700.0,76200.0,number,number,
2015,2015,British Columbia,Both sexes,"Total, 12 years and over",Consultation with a health professional about emotional or mental health,541200.0,494300.0,588100.0,number,number,
2015,2015,British Columbia,Both sexes,"Total, 12 years and over","Positive mental health, flourishing",3056600.0,2994000.0,3119300.0,number,number,
2015,2015,British Columbia,Both sexes,"Total, 12 years and over",Suicidal thoughts (15 years and over),468400.0,425600.0,511200.0,number,number,
2015,2015,British Columbia,Females,12 to 17 years,Consultation with a health professional about emotional or mental health,20000.0,12000.0,28000.0,number,number,E
2015,2015,British Columbia,Females,12 to 17 years,"Positive mental health, flourishing",121300.0,115000.0,127600.0,number,number,
2015,2015,British Columbia,Females,12 to 17 years,Suicidal thoughts (15 years and over),6600.0,2600.0,10600.0,number,number,E
2015,2015,British Columbia,Females,18 to 34 years,Consultation with a health professional about emotional or mental health,120500.0,96000.0,145000.0,number,number,
2015,2015,British Columbia,Females,18 to 34 years,"Positive mental health, flourishing",412600.0,391000.0,434300.0,number,number,
2015,2015,British Columbia,Females,18 to 34 years,Suicidal thoughts (15 years and over),82400.0,62700.0,102000.0,number,number,
2015,2015,British Columbia,Females,35 to 49 years,Consultation with a health professional about emotional or mental health,100100.0,81600.0,118500.0,number,number,
2015,2015,British Columbia,Females,35 to 49 years,"Positive mental health, flourishing",366800.0,347500.0,386200.0,number,number,
2015,2015,British Columbia,Females,35 to 49 years,Suicidal thoughts (15 years and over),82800.0,64900.0,100700.0,number,number,
2015,2015,British Columbia,Females,50 to 64 years,Consultation with a health professional about emotional or mental health,78300.0,62400.0,94200.0,number,number,
2015,2015,British Columbia,Females,50 to 64 years,"Positive mental health, flourishing",378000.0,356400.0,399700.0,number,number,
2015,2015,British Columbia,Females,50 to 64 years,Suicidal thoughts (15 years and over),68100.0,51200.0,85000.0,number,number,
2015,2015,British Columbia,Females,65 years and over,Consultation with a health professional about emotional or mental health,51500.0,40000.0,63000.0,number,number,
2015,2015,British Columbia,Females,65 years and over,"Positive mental health, flourishing",305600.0,288800.0,322400.0,number,number,
2015,2015,British Columbia,Females,65 years and over,Suicidal thoughts (15 years and over),38700.0,29200.0,48300.0,number,number,
2015,2015,British Columbia,Females,"Total, 12 years and over",Consultation with a health professional about emotional or mental health,370400.0,334300.0,406500.0,number,number,
2015,2015,British Columbia,Females,"Total, 12 years and over","Positive mental health, flourishing",1584400.0,1542500.0,1626300.0,number,number,
2015,2015,British Columbia,Females,"Total, 12 years and over",Suicidal thoughts (15 years and over),278600.0,244800.0,312400.0,number,number,
2015,2015,British Columbia,Males,12 to 17 years,Consultation with a health professional about emotional or mental health,7600.0,3200.0,11900.0,number,number,E
2015,2015,British Columbia,Males,12 to 17 years,"Positive mental health, flourishing",109700.0,99600.0,119700.0,number,number,
2015,2015,British Columbia,Males,12 to 17 years,Suicidal thoughts (15 years and over),7400.0,2300.0,12400.0,number,number,E
2015,2015,British Columbia,Males,18 to 34 years,Consultation with a health professional about emotional or mental health,50600.0,35500.0,65700.0,number,number,E
2015,2015,British Columbia,Males,18 to 34 years,"Positive mental health, flourishing",407700.0,383200.0,432100.0,number,number,
2015,2015,British Columbia,Males,18 to 34 years,Suicidal thoughts (15 years and over),60400.0,42500.0,78400.0,number,number,E
2015,2015,British Columbia,Males,35 to 49 years,Consultation with a health professional about emotional or mental health,50100.0,37100.0,63200.0,number,number,
2015,2015,British Columbia,Males,35 to 49 years,"Positive mental health, flourishing",317600.0,293700.0,341500.0,number,number,
2015,2015,British Columbia,Males,35 to 49 years,Suicidal thoughts (15 years and over),40500.0,28000.0,53000.0,number,number,E
2015,2015,British Columbia,Males,50 to 64 years,Consultation with a health professional about emotional or mental health,46800.0,32400.0,61200.0,number,number,E
2015,2015,British Columbia,Males,50 to 64 years,"Positive mental health, flourishing",384700.0,364300.0,405100.0,number,number,
2015,2015,British Columbia,Males,50 to 64 years,Suicidal thoughts (15 years and over),57300.0,39200.0,75400.0,number,number,E
2015,2015,British Columbia,Males,65 years and over,Consultation with a health professional about emotional or mental health,15600.0,9800.0,21500.0,number,number,E
2015,2015,British Columbia,Males,65 years and over,"Positive mental health, flourishing",252600.0,236800.0,268400.0,number,number,
2015,2015,British Columbia,Males,65 years and over,Suicidal thoughts (15 years and over),24200.0,15500.0,33000.0,number,number,E
2015,2015,British Columbia,Males,"Total, 12 years and over",Consultation with a health professional about emotional or mental health,170800.0,144000.0,197500.0,number,number,
2015,2015,British Columbia,Males,"Total, 12 years and over","Positive mental health, flourishing",1472200.0,1426000.0,1518400.0,number,number,
2015,2015,British Columbia,Males,"Total, 12 years and over",Suicidal thoughts (15 years and over),189800.0,159500.0,220100.0,number,number,
2015,2015,Canada (excluding territories),Both sexes,12 to 17 years,Consultation with a health professional about emotional or mental health,239300.0,208500.0,270100.0,number,number,
2015,2015,Canada (excluding territories),Both sexes,12 to 17 years,"Positive mental health, flourishing",1837900.0,1800900.0,1874900.0,number,number,
2015,2015,Canada (excluding territories),Both sexes,12 to 17 years,Suicidal thoughts (15 years and over),108600.0,90300.0,127000.0,number,number,
2015,2015,Canada (excluding territories),Both sexes,18 to 34 years,Consultation with a health professional about emotional or mental health,1346900.0,1252600.0,1441300.0,number,number,
2015,2015,Canada (excluding territories),Both sexes,18 to 34 years,"Positive mental health, flourishing",6434400.0,6330900.0,6538000.0,number,number,
2015,2015,Canada (excluding territories),Both sexes,18 to 34 years,Suicidal thoughts (15 years and over),1144200.0,1061000.0,1227400.0,number,number,
2015,2015,Canada (excluding territories),Both sexes,35 to 49 years,Consultation with a health professional about emotional or mental health,1118200.0,1047000.0,1189400.0,number,number,
2015,2015,Canada (excluding territories),Both sexes,35 to 49 years,"Positive mental health, flourishing",5599600.0,5511200.0,5687900.0,number,number,
