ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2016,2016,Alberta,Both sexes,65 years and over,"Main source of stress in day-to-day life, time pressures/ not enough time",37000.0,27100.0,48100.0,number,number,
2016,2016,Alberta,Both sexes,65 years and over,"Main source of stress in day-to-day life, work",21300.0,15200.0,28900.0,number,number,E
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent",3062600.0,3019800.0,3106400.0,number,number,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent",2799700.0,2757800.0,2854700.0,number,number,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, family",491300.0,448700.0,532600.0,number,number,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns",687700.0,639500.0,741000.0,number,number,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, health",229400.0,205100.0,255600.0,number,number,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, none",302900.0,271700.0,337500.0,number,number,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, other",86200.0,71300.0,104200.0,number,number,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)",288100.0,256200.0,319800.0,number,number,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time",450300.0,406800.0,491800.0,number,number,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, work",854100.0,805700.0,905200.0,number,number,
2016,2016,Alberta,Females,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",110400.0,101500.0,118300.0,number,number,
2016,2016,Alberta,Females,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",92700.0,82900.0,101500.0,number,number,
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, family",7300.0,3600.0,12000.0,number,number,E
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, none",5000.0,2400.0,8000.0,number,number,E
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",92000.0,81400.0,101700.0,number,number,
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",13000.0,7300.0,19700.0,number,number,E
2016,2016,Alberta,Females,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent",447600.0,431200.0,464400.0,number,number,
2016,2016,Alberta,Females,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent",370400.0,346400.0,394300.0,number,number,
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, family",55200.0,44000.0,67900.0,number,number,
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, financial concerns",118000.0,100300.0,136600.0,number,number,
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, health",21800.0,12100.0,32700.0,number,number,E
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, none",27000.0,17600.0,36800.0,number,number,E
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, other",9900.0,5900.0,15200.0,number,number,E
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",67200.0,45600.0,86300.0,number,number,E
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, time pressures/ not enough time",95300.0,78000.0,116700.0,number,number,
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, work",118000.0,99500.0,137400.0,number,number,
2016,2016,Alberta,Females,35 to 49 years,"Ability to handle the day-to-day demands in life, good or excellent",388900.0,374900.0,400700.0,number,number,
2016,2016,Alberta,Females,35 to 49 years,"Ability to handle unexpected and difficult problems, good or excellent",342600.0,322400.0,360700.0,number,number,
2016,2016,Alberta,Females,35 to 49 years,"Main source of stress in day-to-day life, family",89600.0,66600.0,106700.0,number,number,
2016,2016,Alberta,Females,35 to 49 years,"Main source of stress in day-to-day life, financial concerns",101000.0,83100.0,123500.0,number,number,
