ref_date_raw,start_year,geo,sex,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2021-04,2021,Newfoundland and Labrador,Women,Excellent or very good perceived health,134000.0,117000.0,150000.0,number,number,E
2021-04,2021,Newfoundland and Labrador,Women,Good perceived health,68000.0,52000.0,84000.0,number,number,E
2021-04,2021,Nova Scotia,Men,Excellent or very good perceived health,248000.0,218000.0,278000.0,number,number,
2021-04,2021,Nova Scotia,Men,Good perceived health,102000.0,74000.0,130000.0,number,number,E
2021-04,2021,Nova Scotia,"Total, all persons",Excellent or very good perceived health,482000.0,443000.0,521000.0,number,number,
2021-04,2021,Nova Scotia,"Total, all persons",Fair or poor perceived health,104000.0,80000.0,128000.0,number,number,E
2021-04,2021,Nova Scotia,"Total, all persons",Good perceived health,239000.0,203000.0,276000.0,number,number,
2021-04,2021,Nova Scotia,Women,Excellent or very good perceived health,234000.0,208000.0,260000.0,number,number,
2021-04,2021,Nova Scotia,Women,Good perceived health,137000.0,112000.0,162000.0,number,number,E
2021-04,2021,Ontario,Men,Excellent or very good perceived health,3496000.0,3296000.0,3696000.0,number,number,
2021-04,2021,Ontario,Men,Fair or poor perceived health,698000.0,576000.0,821000.0,number,number,
2021-04,2021,Ontario,Men,Good perceived health,1857000.0,1666000.0,2048000.0,number,number,
2021-04,2021,Ontario,"Total, all persons",Excellent or very good perceived health,6792000.0,6528000.0,7056000.0,number,number,
2021-04,2021,Ontario,"Total, all persons",Fair or poor perceived health,1470000.0,1303000.0,1637000.0,number,number,
2021-04,2021,Ontario,"Total, all persons",Good perceived health,4072000.0,3816000.0,4328000.0,number,number,
2021-04,2021,Ontario,Women,Excellent or very good perceived health,3296000.0,3111000.0,3481000.0,number,number,
2021-04,2021,Ontario,Women,Fair or poor perceived health,772000.0,656000.0,887000.0,number,number,
2021-04,2021,Ontario,Women,Good perceived health,2215000.0,2037000.0,2393000.0,number,number,
2021-04,2021,Prairies Region,Men,Excellent or very good perceived health,1636000.0,1525000.0,1748000.0,number,number,
2021-04,2021,Prairies Region,Men,Fair or poor perceived health,264000.0,205000.0,323000.0,number,number,E
2021-04,2021,Prairies Region,Men,Good perceived health,823000.0,718000.0,928000.0,number,number,
2021-04,2021,Prairies Region,"Total, all persons",Excellent or very good perceived health,3103000.0,2956000.0,3250000.0,number,number,
2021-04,2021,Prairies Region,"Total, all persons",Fair or poor perceived health,623000.0,534000.0,712000.0,number,number,
2021-04,2021,Prairies Region,"Total, all persons",Good perceived health,1740000.0,1600000.0,1880000.0,number,number,
2021-04,2021,Prairies Region,Women,Excellent or very good perceived health,1467000.0,1369000.0,1565000.0,number,number,
2021-04,2021,Prairies Region,Women,Fair or poor perceived health,359000.0,291000.0,427000.0,number,number,
2021-04,2021,Prairies Region,Women,Good perceived health,917000.0,825000.0,1009000.0,number,number,
2021-04,2021,Prince Edward Island,Men,Excellent or very good perceived health,37000.0,31000.0,42000.0,number,number,E
2021-04,2021,Prince Edward Island,"Total, all persons",Excellent or very good perceived health,73000.0,66000.0,81000.0,number,number,
2021-04,2021,Prince Edward Island,"Total, all persons",Good perceived health,43000.0,36000.0,50000.0,number,number,
2021-04,2021,Prince Edward Island,Women,Excellent or very good perceived health,37000.0,32000.0,42000.0,number,number,
2021-04,2021,Prince Edward Island,Women,Good perceived health,23000.0,18000.0,27000.0,number,number,E
2021-04,2021,Quebec,Men,Excellent or very good perceived health,2385000.0,2265000.0,2504000.0,number,number,
2021-04,2021,Quebec,Men,Fair or poor perceived health,283000.0,219000.0,348000.0,number,number,E
2021-04,2021,Quebec,Men,Good perceived health,876000.0,766000.0,986000.0,number,number,
2021-04,2021,Quebec,"Total, all persons",Excellent or very good perceived health,4363000.0,4183000.0,4543000.0,number,number,
2021-04,2021,Quebec,"Total, all persons",Fair or poor perceived health,662000.0,567000.0,758000.0,number,number,
2021-04,2021,Quebec,"Total, all persons",Good perceived health,2072000.0,1899000.0,2246000.0,number,number,
2021-04,2021,Quebec,Women,Excellent or very good perceived health,1978000.0,1844000.0,2113000.0,number,number,
2021-04,2021,Quebec,Women,Fair or poor perceived health,379000.0,307000.0,451000.0,number,number,
2021-04,2021,Quebec,Women,Good perceived health,1197000.0,1064000.0,1330000.0,number,number,
2021-04,2021,Saskatchewan,Men,Excellent or very good perceived health,255000.0,221000.0,288000.0,number,number,
2021-04,2021,Saskatchewan,Men,Good perceived health,140000.0,109000.0,171000.0,number,number,E
2021-04,2021,Saskatchewan,"Total, all persons",Excellent or very good perceived health,471000.0,424000.0,518000.0,number,number,
2021-04,2021,Saskatchewan,"Total, all persons",Fair or poor perceived health,98000.0,74000.0,122000.0,number,number,E
2021-04,2021,Saskatchewan,"Total, all persons",Good perceived health,317000.0,272000.0,362000.0,number,number,
2021-04,2021,Saskatchewan,Women,Excellent or very good perceived health,216000.0,185000.0,248000.0,number,number,
2021-04,2021,Saskatchewan,Women,Good perceived health,177000.0,146000.0,208000.0,number,number,E
2021-07,2021,Alberta,Men,Excellent or very good perceived health,1068000.0,964000.0,1173000.0,number,number,
2021-07,2021,Alberta,Men,Good perceived health,473000.0,387000.0,559000.0,number,number,
2021-07,2021,Alberta,"Total, all persons",Excellent or very good perceived health,2018000.0,1872000.0,2163000.0,number,number,
2021-07,2021,Alberta,"Total, all persons",Fair or poor perceived health,405000.0,314000.0,496000.0,number,number,E
2021-07,2021,Alberta,"Total, all persons",Good perceived health,1130000.0,991000.0,1270000.0,number,number,
2021-07,2021,Alberta,Women,Excellent or very good perceived health,949000.0,843000.0,1056000.0,number,number,
2021-07,2021,Alberta,Women,Fair or poor perceived health,166000.0,118000.0,214000.0,number,number,E
2021-07,2021,Alberta,Women,Good perceived health,657000.0,546000.0,768000.0,number,number,
2021-07,2021,Atlantic Region,Men,Excellent or very good perceived health,614000.0,575000.0,654000.0,number,number,
2021-07,2021,Atlantic Region,Men,Fair or poor perceived health,122000.0,95000.0,149000.0,number,number,E
2021-07,2021,Atlantic Region,Men,Good perceived health,271000.0,234000.0,308000.0,number,number,
2021-07,2021,Atlantic Region,"Total, all persons",Excellent or very good perceived health,1140000.0,1082000.0,1198000.0,number,number,
2021-07,2021,Atlantic Region,"Total, all persons",Fair or poor perceived health,328000.0,286000.0,371000.0,number,number,
2021-07,2021,Atlantic Region,"Total, all persons",Good perceived health,596000.0,545000.0,648000.0,number,number,
2021-07,2021,Atlantic Region,Women,Excellent or very good perceived health,526000.0,483000.0,569000.0,number,number,
2021-07,2021,Atlantic Region,Women,Fair or poor perceived health,206000.0,174000.0,239000.0,number,number,
2021-07,2021,Atlantic Region,Women,Good perceived health,325000.0,287000.0,363000.0,number,number,
2021-07,2021,British Columbia,Men,Excellent or very good perceived health,1185000.0,1078000.0,1291000.0,number,number,
2021-07,2021,British Columbia,Men,Fair or poor perceived health,295000.0,223000.0,367000.0,number,number,E
2021-07,2021,British Columbia,Men,Good perceived health,650000.0,551000.0,749000.0,number,number,
2021-07,2021,British Columbia,"Total, all persons",Excellent or very good perceived health,2359000.0,2200000.0,2519000.0,number,number,
2021-07,2021,British Columbia,"Total, all persons",Fair or poor perceived health,606000.0,494000.0,718000.0,number,number,
2021-07,2021,British Columbia,"Total, all persons",Good perceived health,1388000.0,1243000.0,1534000.0,number,number,
2021-07,2021,British Columbia,Women,Excellent or very good perceived health,1175000.0,1063000.0,1286000.0,number,number,
2021-07,2021,British Columbia,Women,Fair or poor perceived health,311000.0,228000.0,393000.0,number,number,E
2021-07,2021,British Columbia,Women,Good perceived health,738000.0,634000.0,843000.0,number,number,
2021-07,2021,Canada (excluding territories),Men,Excellent or very good perceived health,8931000.0,8658000.0,9205000.0,number,number,
2021-07,2021,Canada (excluding territories),Men,Fair or poor perceived health,1976000.0,1775000.0,2177000.0,number,number,
2021-07,2021,Canada (excluding territories),Men,Good perceived health,4597000.0,4350000.0,4845000.0,number,number,
2021-07,2021,Canada (excluding territories),"Total, all persons",Excellent or very good perceived health,17397000.0,17011000.0,17783000.0,number,number,
2021-07,2021,Canada (excluding territories),"Total, all persons",Fair or poor perceived health,4194000.0,3925000.0,4464000.0,number,number,
2021-07,2021,Canada (excluding territories),"Total, all persons",Good perceived health,9775000.0,9409000.0,10141000.0,number,number,
2021-07,2021,Canada (excluding territories),Women,Excellent or very good perceived health,8465000.0,8198000.0,8733000.0,number,number,
2021-07,2021,Canada (excluding territories),Women,Fair or poor perceived health,2218000.0,2039000.0,2398000.0,number,number,
2021-07,2021,Canada (excluding territories),Women,Good perceived health,5178000.0,4914000.0,5441000.0,number,number,
2021-07,2021,Manitoba,Men,Excellent or very good perceived health,323000.0,285000.0,361000.0,number,number,
2021-07,2021,Manitoba,Men,Good perceived health,137000.0,104000.0,171000.0,number,number,E
2021-07,2021,Manitoba,"Total, all persons",Excellent or very good perceived health,604000.0,550000.0,657000.0,number,number,
2021-07,2021,Manitoba,"Total, all persons",Fair or poor perceived health,130000.0,97000.0,164000.0,number,number,E
2021-07,2021,Manitoba,"Total, all persons",Good perceived health,321000.0,273000.0,369000.0,number,number,
2021-07,2021,Manitoba,Women,Excellent or very good perceived health,281000.0,242000.0,319000.0,number,number,
2021-07,2021,Manitoba,Women,Good perceived health,184000.0,148000.0,220000.0,number,number,E
2021-07,2021,New Brunswick,Men,Excellent or very good perceived health,183000.0,161000.0,206000.0,number,number,
2021-07,2021,New Brunswick,Men,Good perceived health,90000.0,69000.0,111000.0,number,number,E
2021-07,2021,New Brunswick,"Total, all persons",Excellent or very good perceived health,339000.0,308000.0,369000.0,number,number,
2021-07,2021,New Brunswick,"Total, all persons",Fair or poor perceived health,119000.0,95000.0,144000.0,number,number,E
2021-07,2021,New Brunswick,"Total, all persons",Good perceived health,197000.0,167000.0,226000.0,number,number,
2021-07,2021,New Brunswick,Women,Excellent or very good perceived health,155000.0,133000.0,178000.0,number,number,
2021-07,2021,New Brunswick,Women,Fair or poor perceived health,71000.0,53000.0,89000.0,number,number,E
2021-07,2021,New Brunswick,Women,Good perceived health,107000.0,85000.0,129000.0,number,number,E
2021-07,2021,Newfoundland and Labrador,Men,Excellent or very good perceived health,142000.0,125000.0,159000.0,number,number,E
2021-07,2021,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived health,257000.0,234000.0,281000.0,number,number,
2021-07,2021,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived health,67000.0,49000.0,85000.0,number,number,E
2021-07,2021,Newfoundland and Labrador,"Total, all persons",Good perceived health,120000.0,100000.0,141000.0,number,number,
2021-07,2021,Newfoundland and Labrador,Women,Excellent or very good perceived health,115000.0,98000.0,132000.0,number,number,
2021-07,2021,Newfoundland and Labrador,Women,Good perceived health,68000.0,54000.0,82000.0,number,number,E
2021-07,2021,Nova Scotia,Men,Excellent or very good perceived health,250000.0,223000.0,277000.0,number,number,
2021-07,2021,Nova Scotia,Men,Good perceived health,110000.0,84000.0,135000.0,number,number,E
2021-07,2021,Nova Scotia,"Total, all persons",Excellent or very good perceived health,466000.0,426000.0,506000.0,number,number,
2021-07,2021,Nova Scotia,"Total, all persons",Fair or poor perceived health,124000.0,95000.0,153000.0,number,number,E
2021-07,2021,Nova Scotia,"Total, all persons",Good perceived health,239000.0,202000.0,277000.0,number,number,
2021-07,2021,Nova Scotia,Women,Excellent or very good perceived health,217000.0,187000.0,247000.0,number,number,
2021-07,2021,Nova Scotia,Women,Good perceived health,130000.0,102000.0,157000.0,number,number,E
2021-07,2021,Ontario,Men,Excellent or very good perceived health,3245000.0,3053000.0,3437000.0,number,number,
2021-07,2021,Ontario,Men,Fair or poor perceived health,905000.0,753000.0,1056000.0,number,number,
2021-07,2021,Ontario,Men,Good perceived health,1928000.0,1743000.0,2112000.0,number,number,
2021-07,2021,Ontario,"Total, all persons",Excellent or very good perceived health,6458000.0,6191000.0,6726000.0,number,number,
2021-07,2021,Ontario,"Total, all persons",Fair or poor perceived health,1932000.0,1735000.0,2128000.0,number,number,
2021-07,2021,Ontario,"Total, all persons",Good perceived health,3969000.0,3715000.0,4223000.0,number,number,
2021-07,2021,Ontario,Women,Excellent or very good perceived health,3213000.0,3029000.0,3397000.0,number,number,
2021-07,2021,Ontario,Women,Fair or poor perceived health,1027000.0,896000.0,1158000.0,number,number,
2021-07,2021,Ontario,Women,Good perceived health,2041000.0,1858000.0,2224000.0,number,number,
2021-07,2021,Prairies Region,Men,Excellent or very good perceived health,1649000.0,1533000.0,1765000.0,number,number,
2021-07,2021,Prairies Region,Men,Fair or poor perceived health,341000.0,259000.0,423000.0,number,number,E
2021-07,2021,Prairies Region,Men,Good perceived health,759000.0,659000.0,860000.0,number,number,
2021-07,2021,Prairies Region,"Total, all persons",Excellent or very good perceived health,3109000.0,2944000.0,3274000.0,number,number,
2021-07,2021,Prairies Region,"Total, all persons",Fair or poor perceived health,650000.0,549000.0,750000.0,number,number,
2021-07,2021,Prairies Region,"Total, all persons",Good perceived health,1737000.0,1579000.0,1896000.0,number,number,
2021-07,2021,Prairies Region,Women,Excellent or very good perceived health,1460000.0,1341000.0,1579000.0,number,number,
2021-07,2021,Prairies Region,Women,Fair or poor perceived health,309000.0,250000.0,368000.0,number,number,
2021-07,2021,Prairies Region,Women,Good perceived health,978000.0,858000.0,1098000.0,number,number,
2021-07,2021,Prince Edward Island,Men,Excellent or very good perceived health,39000.0,34000.0,44000.0,number,number,E
2021-07,2021,Prince Edward Island,Men,Good perceived health,19000.0,14000.0,24000.0,number,number,E
2021-07,2021,Prince Edward Island,"Total, all persons",Excellent or very good perceived health,78000.0,70000.0,85000.0,number,number,
2021-07,2021,Prince Edward Island,"Total, all persons",Fair or poor perceived health,17000.0,13000.0,21000.0,number,number,E
2021-07,2021,Prince Edward Island,"Total, all persons",Good perceived health,40000.0,33000.0,47000.0,number,number,
2021-07,2021,Prince Edward Island,Women,Excellent or very good perceived health,38000.0,33000.0,43000.0,number,number,
