ref_date_raw,start_year,geo,sex,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2021-10,2021,Ontario,Men,Excellent or very good perceived health,3176000.0,2972000.0,3381000.0,number,number,
2021-10,2021,Ontario,Men,Fair or poor perceived health,979000.0,828000.0,1130000.0,number,number,
2021-10,2021,Ontario,Men,Good perceived health,1944000.0,1761000.0,2127000.0,number,number,
2021-10,2021,Ontario,"Total, all persons",Excellent or very good perceived health,6340000.0,6063000.0,6617000.0,number,number,
2021-10,2021,Ontario,"Total, all persons",Fair or poor perceived health,2033000.0,1829000.0,2237000.0,number,number,
2021-10,2021,Ontario,"Total, all persons",Good perceived health,4042000.0,3785000.0,4298000.0,number,number,
2021-10,2021,Ontario,Women,Excellent or very good perceived health,3164000.0,2967000.0,3360000.0,number,number,
2021-10,2021,Ontario,Women,Fair or poor perceived health,1054000.0,909000.0,1199000.0,number,number,
2021-10,2021,Ontario,Women,Good perceived health,2098000.0,1914000.0,2282000.0,number,number,
2021-10,2021,Prairies Region,Men,Excellent or very good perceived health,1498000.0,1386000.0,1610000.0,number,number,
2021-10,2021,Prairies Region,Men,Fair or poor perceived health,358000.0,285000.0,431000.0,number,number,
2021-10,2021,Prairies Region,Men,Good perceived health,893000.0,786000.0,999000.0,number,number,
2021-10,2021,Prairies Region,"Total, all persons",Excellent or very good perceived health,2855000.0,2706000.0,3005000.0,number,number,
2021-10,2021,Prairies Region,"Total, all persons",Fair or poor perceived health,763000.0,659000.0,866000.0,number,number,
2021-10,2021,Prairies Region,"Total, all persons",Good perceived health,1870000.0,1722000.0,2018000.0,number,number,
2021-10,2021,Prairies Region,Women,Excellent or very good perceived health,1357000.0,1253000.0,1461000.0,number,number,
2021-10,2021,Prairies Region,Women,Fair or poor perceived health,404000.0,330000.0,478000.0,number,number,
2021-10,2021,Prairies Region,Women,Good perceived health,977000.0,877000.0,1078000.0,number,number,
2021-10,2021,Prince Edward Island,Men,Excellent or very good perceived health,37000.0,31000.0,42000.0,number,number,
2021-10,2021,Prince Edward Island,Men,Good perceived health,19000.0,14000.0,25000.0,number,number,E
2021-10,2021,Prince Edward Island,"Total, all persons",Excellent or very good perceived health,76000.0,69000.0,84000.0,number,number,
2021-10,2021,Prince Edward Island,"Total, all persons",Fair or poor perceived health,17000.0,12000.0,22000.0,number,number,E
2021-10,2021,Prince Edward Island,"Total, all persons",Good perceived health,42000.0,35000.0,49000.0,number,number,
2021-10,2021,Prince Edward Island,Women,Excellent or very good perceived health,39000.0,35000.0,44000.0,number,number,
2021-10,2021,Prince Edward Island,Women,Good perceived health,23000.0,18000.0,28000.0,number,number,E
2021-10,2021,Quebec,Men,Excellent or very good perceived health,2019000.0,1883000.0,2156000.0,number,number,
2021-10,2021,Quebec,Men,Fair or poor perceived health,371000.0,274000.0,468000.0,number,number,E
2021-10,2021,Quebec,Men,Good perceived health,1196000.0,1062000.0,1331000.0,number,number,
2021-10,2021,Quebec,"Total, all persons",Excellent or very good perceived health,4000000.0,3821000.0,4180000.0,number,number,
2021-10,2021,Quebec,"Total, all persons",Fair or poor perceived health,825000.0,698000.0,951000.0,number,number,
2021-10,2021,Quebec,"Total, all persons",Good perceived health,2299000.0,2128000.0,2471000.0,number,number,
2021-10,2021,Quebec,Women,Excellent or very good perceived health,1981000.0,1858000.0,2103000.0,number,number,
2021-10,2021,Quebec,Women,Fair or poor perceived health,454000.0,368000.0,540000.0,number,number,
2021-10,2021,Quebec,Women,Good perceived health,1103000.0,997000.0,1209000.0,number,number,
2021-10,2021,Saskatchewan,Men,Excellent or very good perceived health,260000.0,230000.0,291000.0,number,number,
2021-10,2021,Saskatchewan,Men,Good perceived health,130000.0,102000.0,158000.0,number,number,E
2021-10,2021,Saskatchewan,"Total, all persons",Excellent or very good perceived health,494000.0,451000.0,536000.0,number,number,
2021-10,2021,Saskatchewan,"Total, all persons",Fair or poor perceived health,121000.0,92000.0,151000.0,number,number,E
2021-10,2021,Saskatchewan,"Total, all persons",Good perceived health,276000.0,238000.0,314000.0,number,number,
2021-10,2021,Saskatchewan,Women,Excellent or very good perceived health,233000.0,204000.0,263000.0,number,number,
2021-10,2021,Saskatchewan,Women,Good perceived health,146000.0,119000.0,173000.0,number,number,E
2022-01,2022,Alberta,Men,Excellent or very good perceived health,960000.0,862000.0,1058000.0,number,number,
2022-01,2022,Alberta,Men,Fair or poor perceived health,248000.0,179000.0,317000.0,number,number,E
2022-01,2022,Alberta,Men,Good perceived health,581000.0,486000.0,675000.0,number,number,
2022-01,2022,Alberta,"Total, all persons",Excellent or very good perceived health,1844000.0,1709000.0,1978000.0,number,number,
2022-01,2022,Alberta,"Total, all persons",Fair or poor perceived health,533000.0,434000.0,631000.0,number,number,
2022-01,2022,Alberta,"Total, all persons",Good perceived health,1201000.0,1070000.0,1332000.0,number,number,
2022-01,2022,Alberta,Women,Excellent or very good perceived health,884000.0,788000.0,980000.0,number,number,
2022-01,2022,Alberta,Women,Fair or poor perceived health,285000.0,211000.0,359000.0,number,number,E
2022-01,2022,Alberta,Women,Good perceived health,620000.0,528000.0,712000.0,number,number,
2022-01,2022,Atlantic Region,Men,Excellent or very good perceived health,540000.0,490000.0,590000.0,number,number,
2022-01,2022,Atlantic Region,Men,Fair or poor perceived health,156000.0,118000.0,195000.0,number,number,
2022-01,2022,Atlantic Region,Men,Good perceived health,320000.0,279000.0,361000.0,number,number,
2022-01,2022,Atlantic Region,"Total, all persons",Excellent or very good perceived health,1081000.0,1016000.0,1146000.0,number,number,
2022-01,2022,Atlantic Region,"Total, all persons",Fair or poor perceived health,344000.0,294000.0,395000.0,number,number,
2022-01,2022,Atlantic Region,"Total, all persons",Good perceived health,658000.0,603000.0,714000.0,number,number,
2022-01,2022,Atlantic Region,Women,Excellent or very good perceived health,542000.0,501000.0,582000.0,number,number,
2022-01,2022,Atlantic Region,Women,Fair or poor perceived health,188000.0,155000.0,221000.0,number,number,
2022-01,2022,Atlantic Region,Women,Good perceived health,339000.0,300000.0,377000.0,number,number,
2022-01,2022,British Columbia,Men,Excellent or very good perceived health,1162000.0,1040000.0,1283000.0,number,number,
2022-01,2022,British Columbia,Men,Fair or poor perceived health,321000.0,244000.0,397000.0,number,number,E
2022-01,2022,British Columbia,Men,Good perceived health,674000.0,559000.0,790000.0,number,number,
2022-01,2022,British Columbia,"Total, all persons",Excellent or very good perceived health,2184000.0,2030000.0,2339000.0,number,number,
2022-01,2022,British Columbia,"Total, all persons",Fair or poor perceived health,671000.0,571000.0,772000.0,number,number,
2022-01,2022,British Columbia,"Total, all persons",Good perceived health,1553000.0,1407000.0,1699000.0,number,number,
2022-01,2022,British Columbia,Women,Excellent or very good perceived health,1023000.0,928000.0,1117000.0,number,number,
2022-01,2022,British Columbia,Women,Fair or poor perceived health,351000.0,281000.0,420000.0,number,number,E
2022-01,2022,British Columbia,Women,Good perceived health,879000.0,788000.0,970000.0,number,number,
2022-01,2022,Canada (excluding territories),Men,Excellent or very good perceived health,8720000.0,8417000.0,9023000.0,number,number,
2022-01,2022,Canada (excluding territories),Men,Fair or poor perceived health,1965000.0,1779000.0,2151000.0,number,number,
2022-01,2022,Canada (excluding territories),Men,Good perceived health,4931000.0,4650000.0,5212000.0,number,number,
2022-01,2022,Canada (excluding territories),"Total, all persons",Excellent or very good perceived health,16958000.0,16549000.0,17366000.0,number,number,
2022-01,2022,Canada (excluding territories),"Total, all persons",Fair or poor perceived health,4268000.0,4001000.0,4535000.0,number,number,
2022-01,2022,Canada (excluding territories),"Total, all persons",Good perceived health,10395000.0,10005000.0,10786000.0,number,number,
2022-01,2022,Canada (excluding territories),Women,Excellent or very good perceived health,8238000.0,7949000.0,8526000.0,number,number,
2022-01,2022,Canada (excluding territories),Women,Fair or poor perceived health,2303000.0,2102000.0,2504000.0,number,number,
2022-01,2022,Canada (excluding territories),Women,Good perceived health,5464000.0,5184000.0,5745000.0,number,number,
2022-01,2022,Manitoba,Men,Excellent or very good perceived health,280000.0,238000.0,322000.0,number,number,
2022-01,2022,Manitoba,Men,Good perceived health,180000.0,138000.0,222000.0,number,number,E
2022-01,2022,Manitoba,"Total, all persons",Excellent or very good perceived health,571000.0,520000.0,622000.0,number,number,
2022-01,2022,Manitoba,"Total, all persons",Fair or poor perceived health,139000.0,107000.0,171000.0,number,number,E
2022-01,2022,Manitoba,"Total, all persons",Good perceived health,346000.0,296000.0,397000.0,number,number,
2022-01,2022,Manitoba,Women,Excellent or very good perceived health,291000.0,258000.0,323000.0,number,number,
2022-01,2022,Manitoba,Women,Good perceived health,166000.0,136000.0,197000.0,number,number,E
2022-01,2022,New Brunswick,Men,Excellent or very good perceived health,169000.0,144000.0,194000.0,number,number,E
2022-01,2022,New Brunswick,Men,Good perceived health,121000.0,96000.0,146000.0,number,number,E
2022-01,2022,New Brunswick,"Total, all persons",Excellent or very good perceived health,347000.0,314000.0,379000.0,number,number,
2022-01,2022,New Brunswick,"Total, all persons",Fair or poor perceived health,102000.0,80000.0,123000.0,number,number,E
2022-01,2022,New Brunswick,"Total, all persons",Good perceived health,213000.0,182000.0,244000.0,number,number,
2022-01,2022,New Brunswick,Women,Excellent or very good perceived health,178000.0,157000.0,198000.0,number,number,
2022-01,2022,New Brunswick,Women,Fair or poor perceived health,65000.0,50000.0,81000.0,number,number,E
2022-01,2022,New Brunswick,Women,Good perceived health,92000.0,73000.0,111000.0,number,number,E
2022-01,2022,Newfoundland and Labrador,Men,Excellent or very good perceived health,125000.0,106000.0,143000.0,number,number,E
2022-01,2022,Newfoundland and Labrador,Men,Good perceived health,60000.0,43000.0,77000.0,number,number,E
2022-01,2022,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived health,246000.0,221000.0,271000.0,number,number,
2022-01,2022,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived health,75000.0,57000.0,93000.0,number,number,E
2022-01,2022,Newfoundland and Labrador,"Total, all persons",Good perceived health,126000.0,103000.0,148000.0,number,number,
2022-01,2022,Newfoundland and Labrador,Women,Excellent or very good perceived health,121000.0,104000.0,138000.0,number,number,
2022-01,2022,Newfoundland and Labrador,Women,Good perceived health,65000.0,51000.0,80000.0,number,number,E
2022-01,2022,Nova Scotia,Men,Excellent or very good perceived health,214000.0,176000.0,251000.0,number,number,E
2022-01,2022,Nova Scotia,Men,Good perceived health,113000.0,88000.0,138000.0,number,number,E
2022-01,2022,Nova Scotia,"Total, all persons",Excellent or very good perceived health,415000.0,365000.0,464000.0,number,number,
2022-01,2022,Nova Scotia,"Total, all persons",Fair or poor perceived health,150000.0,110000.0,191000.0,number,number,E
2022-01,2022,Nova Scotia,"Total, all persons",Good perceived health,274000.0,235000.0,313000.0,number,number,
2022-01,2022,Nova Scotia,Women,Excellent or very good perceived health,201000.0,171000.0,231000.0,number,number,
2022-01,2022,Nova Scotia,Women,Good perceived health,161000.0,130000.0,191000.0,number,number,
2022-01,2022,Ontario,Men,Excellent or very good perceived health,3421000.0,3206000.0,3636000.0,number,number,
2022-01,2022,Ontario,Men,Fair or poor perceived health,786000.0,650000.0,921000.0,number,number,
2022-01,2022,Ontario,Men,Good perceived health,1945000.0,1750000.0,2139000.0,number,number,
2022-01,2022,Ontario,"Total, all persons",Excellent or very good perceived health,6633000.0,6339000.0,6927000.0,number,number,
2022-01,2022,Ontario,"Total, all persons",Fair or poor perceived health,1756000.0,1559000.0,1953000.0,number,number,
2022-01,2022,Ontario,"Total, all persons",Good perceived health,4085000.0,3817000.0,4354000.0,number,number,
2022-01,2022,Ontario,Women,Excellent or very good perceived health,3212000.0,3007000.0,3417000.0,number,number,
2022-01,2022,Ontario,Women,Fair or poor perceived health,970000.0,818000.0,1123000.0,number,number,
2022-01,2022,Ontario,Women,Good perceived health,2140000.0,1949000.0,2332000.0,number,number,
2022-01,2022,Prairies Region,Men,Excellent or very good perceived health,1496000.0,1384000.0,1608000.0,number,number,
2022-01,2022,Prairies Region,Men,Fair or poor perceived health,361000.0,287000.0,436000.0,number,number,
2022-01,2022,Prairies Region,Men,Good perceived health,892000.0,782000.0,1001000.0,number,number,
2022-01,2022,Prairies Region,"Total, all persons",Excellent or very good perceived health,2873000.0,2722000.0,3024000.0,number,number,
2022-01,2022,Prairies Region,"Total, all persons",Fair or poor perceived health,816000.0,708000.0,924000.0,number,number,
2022-01,2022,Prairies Region,"Total, all persons",Good perceived health,1838000.0,1692000.0,1984000.0,number,number,
2022-01,2022,Prairies Region,Women,Excellent or very good perceived health,1378000.0,1272000.0,1484000.0,number,number,
2022-01,2022,Prairies Region,Women,Fair or poor perceived health,454000.0,373000.0,535000.0,number,number,
2022-01,2022,Prairies Region,Women,Good perceived health,946000.0,843000.0,1049000.0,number,number,
2022-01,2022,Prince Edward Island,Men,Excellent or very good perceived health,32000.0,27000.0,38000.0,number,number,E
2022-01,2022,Prince Edward Island,Men,Good perceived health,25000.0,20000.0,31000.0,number,number,E
2022-01,2022,Prince Edward Island,"Total, all persons",Excellent or very good perceived health,74000.0,67000.0,81000.0,number,number,
2022-01,2022,Prince Edward Island,"Total, all persons",Fair or poor perceived health,17000.0,13000.0,22000.0,number,number,E
2022-01,2022,Prince Edward Island,"Total, all persons",Good perceived health,46000.0,39000.0,53000.0,number,number,
2022-01,2022,Prince Edward Island,Women,Excellent or very good perceived health,42000.0,37000.0,46000.0,number,number,
2022-01,2022,Prince Edward Island,Women,Good perceived health,21000.0,16000.0,25000.0,number,number,E
2022-01,2022,Quebec,Men,Excellent or very good perceived health,2102000.0,1964000.0,2240000.0,number,number,
2022-01,2022,Quebec,Men,Fair or poor perceived health,341000.0,265000.0,417000.0,number,number,E
2022-01,2022,Quebec,Men,Good perceived health,1101000.0,971000.0,1230000.0,number,number,
2022-01,2022,Quebec,"Total, all persons",Excellent or very good perceived health,4186000.0,4005000.0,4367000.0,number,number,
2022-01,2022,Quebec,"Total, all persons",Fair or poor perceived health,681000.0,581000.0,780000.0,number,number,
2022-01,2022,Quebec,"Total, all persons",Good perceived health,2261000.0,2087000.0,2435000.0,number,number,
2022-01,2022,Quebec,Women,Excellent or very good perceived health,2084000.0,1959000.0,2208000.0,number,number,
2022-01,2022,Quebec,Women,Fair or poor perceived health,340000.0,273000.0,406000.0,number,number,E
2022-01,2022,Quebec,Women,Good perceived health,1160000.0,1039000.0,1281000.0,number,number,
2022-01,2022,Saskatchewan,Men,Excellent or very good perceived health,255000.0,221000.0,290000.0,number,number,
2022-01,2022,Saskatchewan,Men,Good perceived health,131000.0,99000.0,162000.0,number,number,E
2022-01,2022,Saskatchewan,"Total, all persons",Excellent or very good perceived health,459000.0,412000.0,505000.0,number,number,
2022-01,2022,Saskatchewan,"Total, all persons",Fair or poor perceived health,144000.0,111000.0,176000.0,number,number,E
2022-01,2022,Saskatchewan,"Total, all persons",Good perceived health,290000.0,246000.0,335000.0,number,number,
2022-01,2022,Saskatchewan,Women,Excellent or very good perceived health,203000.0,173000.0,234000.0,number,number,
2022-01,2022,Saskatchewan,Women,Fair or poor perceived health,94000.0,67000.0,120000.0,number,number,E
2022-01,2022,Saskatchewan,Women,Good perceived health,160000.0,126000.0,194000.0,number,number,E
2022-04,2022,Alberta,Men,Excellent or very good perceived health,834000.0,724000.0,944000.0,number,number,
2022-04,2022,Alberta,Men,Good perceived health,770000.0,659000.0,881000.0,number,number,
2022-04,2022,Alberta,"Total, all persons",Excellent or very good perceived health,1791000.0,1643000.0,1940000.0,number,number,
2022-04,2022,Alberta,"Total, all persons",Fair or poor perceived health,490000.0,401000.0,579000.0,number,number,
2022-04,2022,Alberta,"Total, all persons",Good perceived health,1320000.0,1175000.0,1465000.0,number,number,
2022-04,2022,Alberta,Women,Excellent or very good perceived health,957000.0,862000.0,1052000.0,number,number,
2022-04,2022,Alberta,Women,Fair or poor perceived health,288000.0,223000.0,354000.0,number,number,E
2022-04,2022,Alberta,Women,Good perceived health,550000.0,462000.0,639000.0,number,number,
2022-04,2022,Atlantic Region,Men,Excellent or very good perceived health,510000.0,465000.0,556000.0,number,number,
2022-04,2022,Atlantic Region,Men,Fair or poor perceived health,168000.0,136000.0,199000.0,number,number,
2022-04,2022,Atlantic Region,Men,Good perceived health,353000.0,309000.0,396000.0,number,number,
2022-04,2022,Atlantic Region,"Total, all persons",Excellent or very good perceived health,1036000.0,972000.0,1099000.0,number,number,
2022-04,2022,Atlantic Region,"Total, all persons",Fair or poor perceived health,336000.0,294000.0,378000.0,number,number,
2022-04,2022,Atlantic Region,"Total, all persons",Good perceived health,723000.0,663000.0,783000.0,number,number,
2022-04,2022,Atlantic Region,Women,Excellent or very good perceived health,526000.0,481000.0,571000.0,number,number,
2022-04,2022,Atlantic Region,Women,Fair or poor perceived health,169000.0,142000.0,195000.0,number,number,
2022-04,2022,Atlantic Region,Women,Good perceived health,370000.0,328000.0,412000.0,number,number,
2022-04,2022,British Columbia,Men,Excellent or very good perceived health,1050000.0,933000.0,1167000.0,number,number,
2022-04,2022,British Columbia,Men,Fair or poor perceived health,391000.0,303000.0,478000.0,number,number,E
2022-04,2022,British Columbia,Men,Good perceived health,733000.0,623000.0,842000.0,number,number,
2022-04,2022,British Columbia,"Total, all persons",Excellent or very good perceived health,2082000.0,1931000.0,2233000.0,number,number,
2022-04,2022,British Columbia,"Total, all persons",Fair or poor perceived health,784000.0,668000.0,900000.0,number,number,
2022-04,2022,British Columbia,"Total, all persons",Good perceived health,1561000.0,1413000.0,1708000.0,number,number,
2022-04,2022,British Columbia,Women,Excellent or very good perceived health,1032000.0,927000.0,1136000.0,number,number,
2022-04,2022,British Columbia,Women,Fair or poor perceived health,393000.0,317000.0,470000.0,number,number,
2022-04,2022,British Columbia,Women,Good perceived health,828000.0,731000.0,925000.0,number,number,
2022-04,2022,Canada (excluding territories),Men,Excellent or very good perceived health,8006000.0,7706000.0,8306000.0,number,number,
2022-04,2022,Canada (excluding territories),Men,Fair or poor perceived health,2080000.0,1885000.0,2274000.0,number,number,
2022-04,2022,Canada (excluding territories),Men,Good perceived health,5596000.0,5304000.0,5888000.0,number,number,
2022-04,2022,Canada (excluding territories),"Total, all persons",Excellent or very good perceived health,16043000.0,15628000.0,16458000.0,number,number,
2022-04,2022,Canada (excluding territories),"Total, all persons",Fair or poor perceived health,4614000.0,4341000.0,4887000.0,number,number,
2022-04,2022,Canada (excluding territories),"Total, all persons",Good perceived health,11082000.0,10673000.0,11490000.0,number,number,
2022-04,2022,Canada (excluding territories),Women,Excellent or very good perceived health,8037000.0,7747000.0,8327000.0,number,number,
2022-04,2022,Canada (excluding territories),Women,Fair or poor perceived health,2534000.0,2335000.0,2733000.0,number,number,
2022-04,2022,Canada (excluding territories),Women,Good perceived health,5486000.0,5211000.0,5761000.0,number,number,
2022-04,2022,Manitoba,Men,Excellent or very good perceived health,283000.0,239000.0,327000.0,number,number,E
2022-04,2022,Manitoba,Men,Good perceived health,178000.0,136000.0,219000.0,number,number,E
2022-04,2022,Manitoba,"Total, all persons",Excellent or very good perceived health,551000.0,492000.0,609000.0,number,number,
2022-04,2022,Manitoba,"Total, all persons",Fair or poor perceived health,136000.0,102000.0,169000.0,number,number,E
2022-04,2022,Manitoba,"Total, all persons",Good perceived health,378000.0,323000.0,434000.0,number,number,
2022-04,2022,Manitoba,Women,Excellent or very good perceived health,268000.0,229000.0,307000.0,number,number,
2022-04,2022,Manitoba,Women,Good perceived health,201000.0,164000.0,238000.0,number,number,E
2022-04,2022,New Brunswick,Men,Excellent or very good perceived health,135000.0,105000.0,164000.0,number,number,E
2022-04,2022,New Brunswick,Men,Good perceived health,130000.0,101000.0,158000.0,number,number,E
2022-04,2022,New Brunswick,"Total, all persons",Excellent or very good perceived health,298000.0,262000.0,335000.0,number,number,
2022-04,2022,New Brunswick,"Total, all persons",Fair or poor perceived health,116000.0,88000.0,144000.0,number,number,E
2022-04,2022,New Brunswick,"Total, all persons",Good perceived health,251000.0,216000.0,286000.0,number,number,
2022-04,2022,New Brunswick,Women,Excellent or very good perceived health,164000.0,141000.0,186000.0,number,number,
2022-04,2022,New Brunswick,Women,Good perceived health,121000.0,101000.0,141000.0,number,number,E
2022-04,2022,Newfoundland and Labrador,Men,Excellent or very good perceived health,123000.0,104000.0,142000.0,number,number,
2022-04,2022,Newfoundland and Labrador,Men,Good perceived health,66000.0,48000.0,83000.0,number,number,E
2022-04,2022,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived health,242000.0,216000.0,268000.0,number,number,
2022-04,2022,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived health,67000.0,52000.0,82000.0,number,number,E
2022-04,2022,Newfoundland and Labrador,"Total, all persons",Good perceived health,139000.0,116000.0,162000.0,number,number,
2022-04,2022,Newfoundland and Labrador,Women,Excellent or very good perceived health,119000.0,102000.0,136000.0,number,number,
2022-04,2022,Newfoundland and Labrador,Women,Good perceived health,73000.0,58000.0,89000.0,number,number,E
2022-04,2022,Nova Scotia,Men,Excellent or very good perceived health,214000.0,186000.0,243000.0,number,number,E
2022-04,2022,Nova Scotia,Men,Good perceived health,139000.0,110000.0,167000.0,number,number,E
2022-04,2022,Nova Scotia,"Total, all persons",Excellent or very good perceived health,418000.0,373000.0,463000.0,number,number,
2022-04,2022,Nova Scotia,"Total, all persons",Fair or poor perceived health,134000.0,106000.0,162000.0,number,number,E
2022-04,2022,Nova Scotia,"Total, all persons",Good perceived health,291000.0,248000.0,334000.0,number,number,
2022-04,2022,Nova Scotia,Women,Excellent or very good perceived health,203000.0,169000.0,238000.0,number,number,
2022-04,2022,Nova Scotia,Women,Good perceived health,153000.0,119000.0,186000.0,number,number,E
2022-04,2022,Ontario,Men,Excellent or very good perceived health,3014000.0,2810000.0,3219000.0,number,number,
2022-04,2022,Ontario,Men,Fair or poor perceived health,815000.0,685000.0,945000.0,number,number,
2022-04,2022,Ontario,Men,Good perceived health,2300000.0,2097000.0,2502000.0,number,number,
2022-04,2022,Ontario,"Total, all persons",Excellent or very good perceived health,6006000.0,5719000.0,6293000.0,number,number,
2022-04,2022,Ontario,"Total, all persons",Fair or poor perceived health,1988000.0,1785000.0,2191000.0,number,number,
2022-04,2022,Ontario,"Total, all persons",Good perceived health,4507000.0,4233000.0,4781000.0,number,number,
2022-04,2022,Ontario,Women,Excellent or very good perceived health,2992000.0,2791000.0,3193000.0,number,number,
2022-04,2022,Ontario,Women,Fair or poor perceived health,1173000.0,1016000.0,1331000.0,number,number,
2022-04,2022,Ontario,Women,Good perceived health,2207000.0,2023000.0,2391000.0,number,number,
2022-04,2022,Prairies Region,Men,Excellent or very good perceived health,1368000.0,1244000.0,1492000.0,number,number,
2022-04,2022,Prairies Region,Men,Fair or poor perceived health,319000.0,249000.0,388000.0,number,number,
2022-04,2022,Prairies Region,Men,Good perceived health,1104000.0,980000.0,1227000.0,number,number,
2022-04,2022,Prairies Region,"Total, all persons",Excellent or very good perceived health,2795000.0,2630000.0,2960000.0,number,number,
2022-04,2022,Prairies Region,"Total, all persons",Fair or poor perceived health,752000.0,652000.0,852000.0,number,number,
2022-04,2022,Prairies Region,"Total, all persons",Good perceived health,2017000.0,1856000.0,2178000.0,number,number,
2022-04,2022,Prairies Region,Women,Excellent or very good perceived health,1427000.0,1322000.0,1531000.0,number,number,
2022-04,2022,Prairies Region,Women,Fair or poor perceived health,433000.0,361000.0,505000.0,number,number,
2022-04,2022,Prairies Region,Women,Good perceived health,913000.0,813000.0,1014000.0,number,number,
2022-04,2022,Prince Edward Island,Men,Excellent or very good perceived health,38000.0,33000.0,43000.0,number,number,E
2022-04,2022,Prince Edward Island,Men,Good perceived health,19000.0,14000.0,23000.0,number,number,E
2022-04,2022,Prince Edward Island,"Total, all persons",Excellent or very good perceived health,78000.0,71000.0,85000.0,number,number,
2022-04,2022,Prince Edward Island,"Total, all persons",Fair or poor perceived health,19000.0,15000.0,24000.0,number,number,E
2022-04,2022,Prince Edward Island,"Total, all persons",Good perceived health,41000.0,35000.0,48000.0,number,number,
2022-04,2022,Prince Edward Island,Women,Excellent or very good perceived health,40000.0,35000.0,44000.0,number,number,
2022-04,2022,Prince Edward Island,Women,Good perceived health,23000.0,18000.0,27000.0,number,number,E
2022-04,2022,Quebec,Men,Excellent or very good perceived health,2063000.0,1935000.0,2192000.0,number,number,
2022-04,2022,Quebec,Men,Fair or poor perceived health,388000.0,300000.0,476000.0,number,number,E
2022-04,2022,Quebec,Men,Good perceived health,1107000.0,988000.0,1226000.0,number,number,
2022-04,2022,Quebec,"Total, all persons",Excellent or very good perceived health,4125000.0,3942000.0,4308000.0,number,number,
2022-04,2022,Quebec,"Total, all persons",Fair or poor perceived health,753000.0,642000.0,865000.0,number,number,
2022-04,2022,Quebec,"Total, all persons",Good perceived health,2275000.0,2105000.0,2444000.0,number,number,
2022-04,2022,Quebec,Women,Excellent or very good perceived health,2061000.0,1932000.0,2190000.0,number,number,
2022-04,2022,Quebec,Women,Fair or poor perceived health,366000.0,295000.0,436000.0,number,number,E
2022-04,2022,Quebec,Women,Good perceived health,1167000.0,1047000.0,1288000.0,number,number,
2022-04,2022,Saskatchewan,Men,Excellent or very good perceived health,252000.0,220000.0,283000.0,number,number,
2022-04,2022,Saskatchewan,Men,Good perceived health,156000.0,124000.0,188000.0,number,number,E
2022-04,2022,Saskatchewan,"Total, all persons",Excellent or very good perceived health,453000.0,410000.0,496000.0,number,number,
2022-04,2022,Saskatchewan,"Total, all persons",Fair or poor perceived health,127000.0,97000.0,156000.0,number,number,E
2022-04,2022,Saskatchewan,"Total, all persons",Good perceived health,318000.0,275000.0,361000.0,number,number,
2022-04,2022,Saskatchewan,Women,Excellent or very good perceived health,201000.0,171000.0,232000.0,number,number,
2022-04,2022,Saskatchewan,Women,Good perceived health,162000.0,133000.0,191000.0,number,number,E
2022-07,2022,Alberta,Men,Excellent or very good perceived health,1067000.0,963000.0,1172000.0,number,number,
2022-07,2022,Alberta,Men,Good perceived health,552000.0,460000.0,644000.0,number,number,
2022-07,2022,Alberta,"Total, all persons",Excellent or very good perceived health,2056000.0,1915000.0,2197000.0,number,number,
2022-07,2022,Alberta,"Total, all persons",Fair or poor perceived health,465000.0,370000.0,561000.0,number,number,E
2022-07,2022,Alberta,"Total, all persons",Good perceived health,1113000.0,985000.0,1241000.0,number,number,
2022-07,2022,Alberta,Women,Excellent or very good perceived health,989000.0,895000.0,1082000.0,number,number,
2022-07,2022,Alberta,Women,Fair or poor perceived health,267000.0,197000.0,338000.0,number,number,E
2022-07,2022,Alberta,Women,Good perceived health,561000.0,472000.0,650000.0,number,number,
2022-07,2022,Atlantic Region,Men,Excellent or very good perceived health,540000.0,493000.0,586000.0,number,number,
2022-07,2022,Atlantic Region,Men,Fair or poor perceived health,155000.0,119000.0,191000.0,number,number,
2022-07,2022,Atlantic Region,Men,Good perceived health,334000.0,291000.0,377000.0,number,number,
2022-07,2022,Atlantic Region,"Total, all persons",Excellent or very good perceived health,1116000.0,1054000.0,1177000.0,number,number,
2022-07,2022,Atlantic Region,"Total, all persons",Fair or poor perceived health,311000.0,265000.0,356000.0,number,number,
2022-07,2022,Atlantic Region,"Total, all persons",Good perceived health,678000.0,621000.0,735000.0,number,number,
2022-07,2022,Atlantic Region,Women,Excellent or very good perceived health,576000.0,532000.0,620000.0,number,number,
2022-07,2022,Atlantic Region,Women,Fair or poor perceived health,155000.0,127000.0,184000.0,number,number,
2022-07,2022,Atlantic Region,Women,Good perceived health,343000.0,305000.0,382000.0,number,number,
2022-07,2022,British Columbia,Men,Excellent or very good perceived health,1244000.0,1120000.0,1368000.0,number,number,
2022-07,2022,British Columbia,Men,Good perceived health,730000.0,608000.0,853000.0,number,number,
2022-07,2022,British Columbia,"Total, all persons",Excellent or very good perceived health,2460000.0,2293000.0,2627000.0,number,number,
